Opponent,S,Occurrences,GP,Rec,%
Dallas Stars,14,"1968 , 1970 , 1971 , 1972 , 1984 , 1985 , 1986 , 1989 , 1991 , 1994 , 1999 , 2001 , 2016 , 2019",80,8-6,.571
Chicago Blackhawks,12,"1973 , 1980 , 1982 , 1983 , 1988 , 1989 , 1990 , 1992 , 1993 , 2002 , 2014 , 2016",63,4-8,.333
Detroit Red Wings,7,"1984 , 1988 , 1991 , 1996 , 1997 , 1998 , 2002",40,2-5,.286
San Jose Sharks,6,"2000 , 2001 , 2004 , 2012 , 2016 , 2019",35,3-3,.500
Toronto Maple Leafs,5,"1986 , 1987 , 1990 , 1993 , 1996",31,3-2,.600
Los Angeles Kings,4,"1969 , 1998 , 2012 , 2013",18,2-2,.500
Pittsburgh Penguins,3,"1970 , 1975 , 1981",13,2-1,.667
Boston Bruins,3,"1970 , 1972 , 2019",15,1-2,.333
Montreal Canadiens,3,"1968 , 1969 , 1977",12,0-3,.000
Vancouver Canucks,3,"1995 , 2003 , 2009",18,0-3,.000
Arizona Coyotes,2,"1982 , 1999",11,2-0,1.000
Philadelphia Flyers,2,"1968 , 1969",11,2-0,1.000
Minnesota Wild,2,"2015 , 2017",11,1-1,.500
Winnipeg Jets,1,2019,6,1-0,1.000
Buffalo Sabres,1,1976,3,0-1,.000
Calgary Flames,1,1986,7,0-1,.000
Colorado Avalanche,1,2001,5,0-1,.000
Nashville Predators,1,2017,6,0-1,.000
New York Rangers,1,1981,6,0-1,.000
Totals,72,,391,31-41,.431
