Title,Windows release,Console versions,Mobile versions
Rainbow Six,1998,"N64 , PS1 ( 1999 ) ; DC ( 2000 )",GBC ( 2000 )
Rainbow Six Mission Pack : Eagle Watch,1999,DC ( 2000 ),N/A
Rainbow Six : Rogue Spear,1999,DC ( 2000 ) ; PS1 ( 2001 ),GBA ( 2002 )
Rainbow Six : Rogue Spear Mission Pack Urban Operations,2000,DC ( 2000 ),N/A
Rainbow Six : Rogue Spear Covert Ops Essentials,2000,N/A,N/A
Rainbow Six : Rogue Spear Black Thorn,2001,N/A,N/A
Rainbow Six : Take-Down - Missions in Korea,2001,N/A,N/A
Rainbow Six : Lone Wolf,N/A,PS1 ( 2002 ),N/A
Rainbow Six 3 : Raven Shield,2003,"Xbox ( 2003 ) ; PS2 , GameCube ( 2004 )",Mobile game ( 2004 )
Rainbow Six 3 : Athena Sword,2004,N/A,N/A
Rainbow Six 3 : Black Arrow,N/A,Xbox ( 2004 ),N/A
Rainbow Six 3 : Iron Wrath,2005,N/A,N/A
Rainbow Six : Broken Wings,N/A,N/A,Mobile game ( 2003 )
Rainbow Six : Urban Crisis,2004,N/A,N/A
Rainbow Six : Lockdown,2006,"PS2 , Xbox , GameCube ( 2005 )",N/A
Rainbow Six : Critical Hour,N/A,Xbox ( 2006 ),N/A
Rainbow Six : Vegas,2006,X360 ( 2006 ) ; PS3 ( 2007 ),"PSP ( 2007 ) , Mobile game"
Rainbow Six : Vegas 2,2008,"PS3 , X360 ( 2008 )",N/A
Rainbow Six : Shadow Vanguard,N/A,N/A,"iOS , Android ( 2011 )"
Rainbow 6 : Patriots,N/A,"PS4 , XONE",N/A
