Year,Title,Role,Network
2004,"Lagot Ka , Isusumbong Kita",Shirley,GMA Network
2006,Love to Love,Guest appearance,GMA Network
2006,Bahay Mo Ba 'To,Guest appearance,GMA Network
2006,Pinoy Meets World,Herself,GMA Network
2007,Lupin,Mary,GMA Network
2007,Kamandag,Queen Baba,GMA Network
2008-2013,Startalk,Herself / co-host,GMA Network
2008,Sine Novela : Una Kang Naging Akin,Maan,GMA Network
2009,Ang Babaeng Hinugot sa Aking Tadyang,Yaya Citas,GMA Network
2009,Wow Mali,Herself / guest appearance,TV5
2009,Rosalinda,Herself / guest appearance,GMA Network
2009,Darna,Melissa / Flora Venom,GMA Network
2009,Full House,Cristina,GMA Network
2010,Kaya ng Powers,Eva Eugenia,GMA Network
2011,Futbolilits,Gegay,GMA Network
2011,Spooky Nights Presents : Bahay ni Lolo : A Very Spooky Night,Herself,GMA Network
2011,Survivor Philippines : Celebrity Doubles Showdown,Herself / Castaway,GMA Network
2014,Confessions of a Torpe,Shirley,TV5
