Year,Inductee,Achievements
1959,First Team,"Founded during a class at the Springfield YMCA ; first game of basketball played on December 21 , 1891 and consisted of 18 players , 9 to a side ; score of first game was 1-0 ; toured U.S. and helped popularize basketball in the months following its invention"
1959,Original Celtics,"First professional team to sign exclusive player contracts ; 2 American Basketball League ( ABL ) championships ( 1926-27 ) ; introduced post play , zone defenses , and switching man-to-man defense"
1961,Buffalo Germans,"Pan American Championship ( 1901 ) ; Olympic exhibition title ( St. Louis , 1904 ) ; went undefeated in 5 of first 18 seasons ; won 111 straight games ( 1908-10 )"
1963,New York Renaissance,"Pioneering all-black team , compiled record of 2588-539 in the 1920s , 30s and 40s , Founded and owned by Hall of Famer Robert L. Douglas ; World Professional Tournament ( 1939 )"
2002,Harlem Globetrotters,"Played more than 20,000 games in more than 100 countries ; the 25th anniversary tour was highlighted by a game before 75,000 fans in Berlin 's Olympic Stadium ( 1951 ) ; won John Bunn Award ( 1999 )"
2007,Texas Western,"Won the 1966 NCAA National Championship , started 5 African-American players ( Bobby Joe Hill , David Lattin , Orsten Artis , Willie Worsley , & Harry Flournoy ) ; finished the season with a 28-1 record ; coached by Hall of Famer Don Haskins"
2010,1960 United States Olympic Team,"Widely considered the greatest amateur team ever assembled ; won the gold medal at the 1960 Summer Olympics with an 8-0 record and an average victory margin of over 40 points ; roster ( Jay Arnette , Walt Bellamy , Bob Boozer , Terry Dischinger , Burdette Haldorson , Darrall Imhoff , Allen Kelley , Lester Lane , Jerry Lucas , Oscar Robertson , Adrian Smith , Jerry West ) included four Hall of Fame players ( Bellamy , Lucas , Robertson , West ) and 10 future NBA players , with four named consecutively as Rookies of the Year ( Robertson , Bellamy , Dischinger , Lucas from 1961-64 ) and three named among the 50 Greatest Players in NBA History in 1996 ( Lucas , Robertson , West ) ; coaching staff ( Pete Newell , Warren Womble , Dutch Lonborg ) included two Hall of Famers ( Newell and Lonborg )"
2010,1992 United States Olympic Team ( Dream Team ),"Called by the Hall of Fame the greatest collection of basketball talent on the planet ; won the gold medal at the 1992 Summer Olympics with an 8-0 record and an average victory margin of nearly 44 points ; roster ( Charles Barkley , Larry Bird , Clyde Drexler , Patrick Ewing , Magic Johnson , Michael Jordan , Christian Laettner , Karl Malone , Chris Mullin , Scottie Pippen , David Robinson , John Stockton ) included 11 Hall of Fame players ( all except Laettner ) and 10 named among the NBA 's 50 Greatest ( all except Laettner and Mullin ) ; coaching staff ( Chuck Daly , Lenny Wilkens , Mike Krzyzewski , P. J. Carlesimo ) included three Hall of Famers ( Daly , Wilkens , Krzyzewski ) , FIBA Hall of Fame ( 2017 )"
2012,All American Red Heads,All-women 's team founded in 1936 playing against men 's teams under men 's rules ; won 96 straight games at one point ; credited by the Hall with shattering stereotypes about female athletes and overcoming social barriers that existed on and off the basketball court
2014,Immaculata College,"Called by the Hall the first dynasty in women 's college basketball ; won three consecutive AIAW national championships ( 1972-1974 ) , including one undefeated season and a 35-game winning streak"
2019,"Tennessee A & I State Teams of 1957 , 1958 , 1959","First African-American college team to win a major national championship and first college program to win three consecutive basketball national championships , led by Hall of Fame coach John McLendon ( 1979 & 2016 ) and players Dick Barnett and John Rabbit Barnhill"
2019,Wayland Baptist Women 's Teams of 1948-82,"Held a 151-game winning streak from 1953-1958 and 10 overall AAU National Championships . They were inducted into the Women 's Basketball Hall of Fame in 2013 along with these individuals : Harley Redin , coach 1955-73 ( 1999 ) Katherine Washington , 1957-60 ( 2000 ) Dean Weese , coach 1973-79 ( 2000 ) Claude Hutcherson , sponsor 1950-77 ( 2003 ) Patsy Neal , 1956-60 ( 2003 ) Marsha Sharp , player 1970-72 & coach 1972-74 ( 2003 ) Jill Rankin Schneider , 1975-78 ( 2011 )"
