Year,Winner,Designer,Publisher
2019,Just One,Ludovic Roudy and Bruno Sautter,Repos Production
2018,Azul,Michael Kiesling,Next Move/Plan B Games
2017,Kingdomino,Bruno Cathala,Pegasus Spiele ( Friedberg )
2016,Codenames,Vlaada Chvátil,Czech Games Edition
2015,Colt Express,Christophe Raimbault,Ludonaute
2014,Camel Up,Steffen Bogen,Eggertspiele
2013,Hanabi,Antoine Bauza,Abacusspiele
2012,Kingdom Builder,Donald X. Vaccarino,Queen Games
2011,Qwirkle,Susan McKinley Ross,Mindware Spiele
2010,Dixit,Jean-Louis Roubira,Libellud
2009,Dominion,Donald X. Vaccarino,Rio Grande Games
2008,Keltis,Reiner Knizia,Kosmos
2007,Zooloretto,Michael Schacht,Abacus Spiele
2006,Thurn and Taxis,Andreas Seyfarth and Karen Seyfarth,Hans im Glück
2005,Niagara,Thomas Liesching,Zoch Verlag
2004,Ticket to Ride,Alan R. Moon,Days of Wonder
2003,Alhambra,Dirk Henn,Queen Games
2002,Villa Paletti,Bill Payne,Zoch Verlag
2001,Carcassonne,Klaus-Jürgen Wrede,Hans im Glück
2000,Torres,Wolfgang Kramer and Michael Kiesling,Ravensburger
