No,Position,Player,Nation
1,Goalkeeper,Eric Kronberg,United States
2,Defender,Erik Palmer-Brown ( HGP ),United States
3,Defender,Ike Opara,United States
4,Defender,Kevin Ellis ( HGP ),United States
5,Defender,Matt Besler ( Captain & DP ),United States
6,Midfielder,Paulo Nagamura,Brazil
7,Defender,Chance Myers,United States
8,Midfielder,Graham Zusi ( DP ),United States
9,Midfielder,Antonio Dovale,Spain
10,Midfielder,Benny Feilhaber,United States
11,Midfielder,Sal Zizzo,United States
12,Midfielder,Mikey Lopez ( GA ),United States
13,Defender,Lawrence Olum,Kenya
14,Forward,Dom Dwyer,England
15,Defender,Seth Sinovic,United States
16,Forward,Claudio Bieler ( DP ),Argentina
17,Forward,C. J. Sapong,United States
18,Midfielder,Victor Muñoz,Spain
20,Midfielder,Jorge Claros,Honduras
21,Goalkeeper,Jon Kempin ( HGP ),United States
