Year,Round,Pick,Name,From
1973,1,13,Nick Weatherspoon,University of Illinois at Urbana-Champaign
1973,2,19,Louie Nelson,University of Washington
1973,3,48,Tom Kozelko,University of Toledo
1973,4,65,Aron Stewart,University of Richmond
1973,5,82,Danny Traylor,University of South Carolina
1973,6,99,Mike Allocco,Stonehill College
1973,7,116,Rod Hogue,University of Georgia
1973,8,133,Mark Jellison,Northeastern University
1973,9,148,Mike Boylan,Assumption College
1973,10,162,Dick Kelly,Bay College ( Michigan )
1973,11,172,Dale Adams,St. Mary 's College of Maryland
1973,12,181,Mike Battle,George Washington University
1973,13,187,Chester Davis,Morgan State University
1973,14,192,Howard White,University of Maryland
1973,15,197,W. Shorty Simmons,St. Mary 's College of Maryland
