Season,Player,School,Position,Class
1999-00,Alex Jensen,Utah,F,Senior
2000-01,Mekeli Wesley,Brigham Young,F,Senior
2001-02,Britton Johnsen,Utah,F,Junior
2002-03,Ruben Douglas,New Mexico,PG / SG,Senior
2003-04,Rafael Araújo,Brigham Young,C,Senior
2003-04,Nick Welch,Air Force,C,Sophomore
2004-05,Andrew Bogut *,Utah,PF / C,Sophomore
2005-06,Brandon Heath,San Diego State,SG,Junior
2006-07,Keena Young,Brigham Young,G,Senior
2007-08,Lee Cummard,Brigham Young,SF,Junior
2007-08,J. R. Giddens,New Mexico,SG,Senior
2008-09,Luke Nevill,Utah,C,Senior
2009-10,Darington Hobson,New Mexico,SF,Junior
2010-11,Jimmer Fredette *,Brigham Young,PG,Senior
2011-12,Jamaal Franklin,San Diego State,SG,Sophomore
2012-13,Kendall Williams,New Mexico,SG,Junior
2013-14,Xavier Thames,San Diego State,SG,Senior
2014-15,Derrick Marks,Boise State,SG,Senior
2015-16,Marvelle Harris,Fresno State,SG,Senior
2016-17,Gian Clavell,Colorado State,SG,Senior
