Year,Artist of the Year,Nominees
2003,Shania Twain,Alanis Morissette Celine Dion Daniel Bélanger Remy Shand
2004,Sam Roberts,Celine Dion Nelly Furtado Sarah McLachlan Shawn Desman
2005,Avril Lavigne,Bryan Adams Celine Dion Diana Krall k.d . lang
2006,Michael Bublé,Boom Desjardins Diana Krall Kalan Porter Rex Goudie
2007,Nelly Furtado,Diana Krall Gregory Charles Loreena McKennitt Pierre Lapointe
2008,Feist,Avril Lavigne Celine Dion Michael Bublé Pascale Picard
2009,Sam Roberts,Bryan Adams City and Colour k.d . lang Serena Ryder
2010,K'naan,Diana Krall Jann Arden Johnny Reid Michael Bublé
2011,Neil Young,Drake Johnny Reid Justin Bieber Sarah McLachlan
2012,Feist,City and Colour deadmau5 Drake Michael Bublé
2013,Leonard Cohen,Justin Bieber deadmau5 Carly Rae Jepsen Johnny Reid
2014,Serena Ryder,Céline Dion Drake Michael Bublé Robin Thicke
2015,The Weeknd,Bryan Adams deadmau5 Leonard Cohen Sarah McLachlan
2016,The Weeknd,City and Colour Shawn Mendes Drake Justin Bieber
2017,Leonard Cohen,Alessia Cara Drake Shawn Mendes The Weeknd
2018,Gord Downie,Daniel Caesar Lights Ruth B Shania Twain
2019,Shawn Mendes,Michael Bublé Alessia Cara The Weeknd Tory Lanez
2020,TBA,Bryan Adams Alessia Cara Tory Lanez Shawn Mendes Jessie Reyez
