No,Position,Player,Nationality
1,Goalkeeper,Pedro Gallese,Peru
2,Defender,Ruan,Brazil
3,Defender,Alex DeJohn,United States
4,Defender,João Moutinho ( GA ),Portugal
6,Defender,Robin Jansson,Sweden
8,Midfielder,Sebas Méndez,Ecuador
9,Forward,Chris Mueller,United States
10,Midfielder,Mauricio Pereyra ( DP ),Uruguay
11,Midfielder,Júnior Urso,Brazil
13,Forward,Tesho Akindele,Canada
14,Forward,Dom Dwyer ( DP ),United States
15,Defender,Rodrigo Schlegel ( on loan from Racing Club ),Argentina
17,Forward,Nani ( DP ),Portugal
18,Forward,Daryl Dike ( GA ),United States
19,Forward,Benji Michel ( HG ),United States
20,Midfielder,Uri Rosell,Spain
21,Midfielder,Andrés Perea ( on loan from Atlético Nacional ),Colombia
23,Goalkeeper,Brian Rowe,United States
24,Defender,Kyle Smith,United States
25,Defender,Antônio Carlos ( on loan from Palmeiras ),Brazil
