Year,Title,Genre,Platform ( s )
2000,Tzar : The Burden of the Crown,Real-time strategy,Microsoft Windows
2002,Celtic Kings : Rage of War,"Real-time strategy , role-playing",Microsoft Windows
2004,Nemesis of the Roman Empire,"Real-time strategy , role-playing",Microsoft Windows
2005,Imperivm III : The Great Battles of Rome,"Real-time strategy , real-time tactics",Microsoft Windows
2005,Rising Kingdoms,"City-building , real-time strategy",Microsoft Windows
2006,Glory of the Roman Empire,City-building,Microsoft Windows
2008,Imperium Romanum,"City-building , real-time strategy",Microsoft Windows
2008,Imperium Romanum : Emperor Expansion,"City-building , real-time strategy",Microsoft Windows
2009,Grand Ages : Rome,"City-building , real-time strategy",Microsoft Windows
2009,Tropico 3,"City-building , construction and management simulation","Microsoft Windows , Xbox 360"
2009,Grand Ages : Rome - Reign of Augustus,"City-building , Real-time strategy",Microsoft Windows
2011,The First Templar,"Action , role-playing","Microsoft Windows , Xbox 360"
2011,Tropico 4,"City-building , construction and management simulation","Microsoft Windows , Xbox 360"
2013,Omerta - City of Gangsters,"Simulation , turn-based strategy","macOS , Microsoft Windows , Xbox 360"
2014,Tropico 5,"City-building , construction and management simulation","Linux , macOS , Microsoft Windows , PlayStation 4 , Xbox 360 , Xbox One"
2015,Victor Vran,Action role-playing,"Linux , macOS , Microsoft Windows , Nintendo Switch , PlayStation 4 , Xbox One"
2018,Surviving Mars,City-building,"Linux , macOS , Microsoft Windows , PlayStation 4 , Xbox One"
