Medal,Name,Sport,Event
Gold,Gregor Hradetzky,Canoeing,Men 's Folding K-1 10000m
Gold,Gregor Hradetzky,Canoeing,Men 's K-1 1000m
Gold,Adolf Kainz Alfons Dorfner,Canoeing,Men 's K-2 1000m
Gold,Robert Fein,Weightlifting,Men 's Lightweight
Silver,Fritz Landertinger,Canoeing,Men 's K-1 10000m
Silver,Rupert Weinstabl Karl Proisl,Canoeing,Men 's C-2 1000m
Silver,Viktor Kalisch Karl Steinhuber,Canoeing,Men 's K-2 10000m
Silver,Men 's Football Squad,Football,Men 's Football Competition
Silver,Men 's Handball Squad,Handball,Men 's Handball Competition
Silver,Josef Hasenöhrl,Rowing,Men 's Single Sculls
Bronze,Rupert Weinstabl Karl Proisl,Canoeing,Men 's C-2 10000m
Bronze,Alois Podhajsky,Equestrian,Individual Dressage
Bronze,Ellen Preis,Fencing,Women 's Individual Foil
