Year,Title,Role
2009,Star Trek,George Kirk
2009,A Perfect Getaway,Kale
2010,Ca $ h,Sam Phelan
2011,Thor,Thor
2012,The Avengers,Thor
2012,The Cabin in the Woods,Curt Vaughan
2012,Snow White and the Huntsman,Eric the Huntsman
2012,Red Dawn,Jed Eckert
2013,Star Trek Into Darkness,George Kirk ( voice )
2013,Rush,James Hunt
2013,Thor : The Dark World,Thor
2015,Avengers : Age of Ultron,Thor
2015,Blackhat,Nicholas Hathaway
2015,Vacation,Stone Crandall
2015,In the Heart of the Sea,Owen Chase
2016,The Huntsman : Winter 's War,Eric the Huntsman
2016,Ghostbusters,Kevin Beckman
2016,Doctor Strange,Thor
2017,Thor : Ragnarok,Thor
2018,12 Strong,Captain Mitch Nelson
