Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Becamex Bình Dương,Carlos Oliveira,Lê Tấn Tài,Kamito,Becamex IDC
Dược Nam Hà Nam Định,Nguyễn Văn Dũng,Lê Văn Phú,Kelme,Dược Nam Hà
Hà Nội,Chu Đình Nghiêm,Nguyễn Văn Quyết,Kappa,SCG
Hải Phòng,Phạm Anh Tuấn,Doãn Ngọc Tân,Jogarbola,Asanzo
Hoàng Anh Gia Lai,Lee Tae-hoon,Nguyễn Tuấn Anh,Mizuno,Thaco
Hồng Lĩnh Hà Tĩnh,Phạm Minh Đức,Ma Văn Tuấn,Kelme,SCG
Quảng Nam,Vũ Hồng Việt,Đinh Thanh Trung,Jogarbola,LS Group
Sài Gòn,Hoàng Văn Phúc,Nguyễn Ngọc Duy,Ari,Naga
SHB Đà Nẵng,Lê Huỳnh Đức,Hà Đức Chinh,Kamito,SHB
Sông Lam Nghệ An,Ngô Quang Trường,Trần Nguyên Mạnh,Mitre,Bac A Bank
Than Quảng Ninh,Phan Thanh Hùng,Huỳnh Tuấn Linh,Joma,Vinacomin
Thanh Hóa,Fabio Lopez,Lê Văn Thắng,Jogarbola,Rapido
TP Hồ Chí Minh,Jung Hae-seong,Trần Phi Sơn,Kappa,CityLand
Viettel,Trương Việt Hoàng,Bùi Tiến Dũng,FBT,Viettel
