Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Vinson Smith,LB,East Carolina,Ind . ( I-A )
Chicago Bears,Brent Novoselsky,TE,Penn,Ivy
Chicago Bears,Mickey Pruitt,LB,Colorado,Big Eight
Cleveland Browns,Tony Jones,OT,Western Carolina,SoCon
Dallas Cowboys,Zefross Moss,G,Alabama State,SWAC
Denver Broncos,Jason Johnson,WR,Illinois State,Gateway
Los Angeles Raiders,Rory Graves,OT,Ohio State,Big Ten
Los Angeles Rams,Brett Faryniarz,LB,San Diego State,WAC
New England Patriots,Jeff Feagles,P,Miami,Ind
New York Giants,Robb White,DE,South Dakota,NCC
San Diego Chargers,Darren Flutie,WR,Boston College,Ind
Seattle Seahawks,Rufus Porter,LB,Southern,SWAC
Tampa Bay Buccaneers,Odie Harris,CB,Sam Houston State,Southland
Washington Redskins,Greg Manusky,LB,Colgate,Colonial League
