Church,Dates,"City , State"
Anderson Camp Ground,1874 built 1982 NRHP-listed,"Brushy Creek , Anderson County , Texas"
Wesley United Methodist Church,built NRHP-listed,"Austin , Texas"
Chappell Hill Methodist Episcopal Church,built NRHP-listed,"Chappell Hill , Texas"
Polk Street Methodist Church,built NRHP-listed,"Amarillo , Texas"
Reedy Chapel-AME Church,built NRHP-listed,"Galveston , Texas"
First United Methodist Church,built NRHP-listed,"Paris , Texas"
First United Methodist Church,built NRHP-listed,"San Marcos , Texas"
"Marvin Methodist Episcopal Church , South",built NRHP-listed,"Tyler , Texas"
Mount Vernon African Methodist Episcopal Church,built NRHP-listed,"Palestine , Texas"
Webster Chapel United Methodist Church,built NRHP-listed,"Victoria , Texas"
"First Methodist Church ( Cuero , Texas )",built NRHP-listed,"Cuero , Texas"
First Methodist Episcopal Church of Tioga Center,built NRHP-listed,"Tioga , New York"
First Methodist Church of Rockwall,built NRHP-listed,"Rockwall , Texas"
"First Methodist Church ( Georgetown , Texas )",built NRHP-listed,"Georgetown , Texas"
"First Methodist Church ( Marshall , Texas )",built NRHP-listed,"Marshall , Texas"
Old First Methodist Episcopal Church South,built NRHP-listed,"Wharton , Texas"
Methodist Church Concord,built NRHP-listed,"Carthage , Texas"
Morning Chapel C.M.E . Church,built NRHP-listed,"Fort Worth , Texas"
"Grace Methodist Episcopal Church ( Dallas , Texas )",built NRHP-listed,"Dallas , Texas"
Mount Zion United Methodist Church,built NRHP-listed,"Belton , Texas"
