Year,Champion,Runner-up
1967,Independiente,Estudiantes ( LP )
1968,Vélez Sársfield,River Plate
1969,Boca Juniors,River Plate
1970,Boca Juniors,Rosario Central
1971,Rosario Central,San Lorenzo
1972,San Lorenzo,River Plate
1973,Rosario Central,River Plate
1974,San Lorenzo,Rosario Central
1975,River Plate,Estudiantes ( LP )
1976,Boca Juniors,River Plate
1977,Independiente,Talleres ( C )
1978,Independiente,River Plate
1979,River Plate,Unión
1980,Rosario Central,Racing ( C )
1981,River Plate,Ferro Carril Oeste
1982,Ferro Carril Oeste,Quilmes
1983,Estudiantes ( LP ),Independiente
1984,Ferro Carril Oeste,River Plate
1985,Argentinos Juniors,Vélez Sársfield
