Club,Coach,City,Stadium,Capacity,2011
FK Andijan,Azamat Abduraimov,Andijan,Soghlom Avlod Stadium,"18,360",12th
Bunyodkor,Mirjalol Qosimov,Tashkent,JAR Stadium,"8,460",Champions
FK Bukhoro,Tachmurad Agamuradov,Bukhoro,Buxoro Arena,"22,700",9th
Lokomotiv Tashkent,Ravshan Muqimov,Tashkent,Lokomotiv Stadium,"8,000","D1 , 1st"
Mash'al Mubarek,Vladimir Fomichev,Muborak,Bahrom Vafoev Stadium,"10,000",5th
Metallurg Bekabad,Rustam Mirsodiqov,Bekabad,Metallurg Bekabad Stadium,"11,000",8th
Nasaf Qarshi,Usmon Toshev,Qarshi,Qarshi Stadium,"14,750",2nd
Navbahor Namangan,Mustafo Bayramov,Namangan,Markaziy Stadium,"28,462",6th
Neftchi Farg'ona,Yuriy Sarkisyan,Farghona,Farghona Stadium,"14,520",4th
Olmaliq FK,Igor Shkvyrin,Olmaliq,Metallurg Stadium,"11,000",11th
Pakhtakor,Murod Ismailov,Tashkent,Pakhtakor Stadium,"35,000",3rd
Qizilqum Zarafshon,Ravshan Khaydarov,Zarafshon,Progress Stadium,"6,000",13th
Dinamo,Akhmad Ubaydullaev,Samarqand,Olimpiya Stadium,"12,250",10th
Sho'rtan Ghuzor,Edgar Gess,Ghuzor,Ghuzor Stadium,"7,000",7th
