Medal,Name,Sport,Event
Gold,Wolfgang Scheidel,Luge,Men 's individual
Gold,Horst Hörnlein Reinhard Bredow,Luge,Men 's doubles
Gold,Anna-Maria Müller,Luge,Women 's individual
Gold,Ulrich Wehling,Nordic combined,Men 's individual
Silver,Hansjörg Knauthe,Biathlon,Men 's 20 km
Silver,Harald Ehrig,Luge,Men 's individual
Silver,Ute Rührold,Luge,Women 's individual
Bronze,Hansjörg Knauthe Joachim Meischner Dieter Speer Horst Koschka,Biathlon,Men 's 4 x 7.5 km relay
Bronze,Manuela Groß Uwe Kagelmann,Figure skating,Pairs
Bronze,Wolfram Fiedler,Luge,Men 's individual
Bronze,Klaus-Michael Bonsack Wolfram Fiedler,Luge,Men 's doubles
Bronze,Margit Schumann,Luge,Women 's individual
Bronze,Karl-Heinz Luck,Nordic combined,Men 's individual
Bronze,Rainer Schmidt,Ski jumping,Men 's large hill
