Team,Division,City,Province,Stadium,Affiliate
DSL Angels,Boca Chica South,San Pedro de Macorís,San Pedro de Macorís,Baseball Valley Complex,Los Angeles Angels
DSL Astros,Boca Chica Northwest,San Antonio de Guerra,Santo Domingo,Houston Astros Complex,Houston Astros
DSL Athletics,Boca Chica Northwest,Santo Domingo Norte,Santo Domingo,Juan Marichal Complex,Oakland Athletics
DSL Blue Jays,Boca Chica Baseball City,San Pedro de Macorís,San Pedro de Macorís,Baseball City Complex,Toronto Blue Jays
DSL Braves,Boca Chica Northwest,San Pedro de Macorís,San Pedro de Macorís,Corcova de Guerra Complex,Atlanta Braves
DSL Brewers,Boca Chica San Pedro de Macorís,San Pedro de Macorís,San Pedro de Macorís,Tower Complex,Milwaukee Brewers
DSL Cardinals Blue,Boca Chica South,Santo Domingo Norte,Santo Domingo,Baseball Oasis Complex,St. Louis Cardinals
DSL Cardinals Red,Boca Chica San Pedro de Macorís,Santo Domingo Norte,Santo Domingo,Baseball Oasis Complex,St. Louis Cardinals
DSL Colorado,Boca Chica Northeast,Boca Chica,Santo Domingo,Colorado Rockies Complex,Colorado Rockies
DSL Cubs 1,Boca Chica North,Boca Chica,Santo Domingo,Chicago Cubs Complex,Chicago Cubs
DSL Cubs 2,Boca Chica San Pedro de Macorís,Boca Chica,Santo Domingo,Chicago Cubs Complex,Chicago Cubs
DSL Diamondbacks 1,Boca Chica Baseball City,Boca Chica,Santo Domingo,Baseball City Complex,Arizona Diamondbacks
DSL Diamondbacks 2,Boca Chica San Pedro de Macorís,Boca Chica,Santo Domingo,Baseball City Complex,Arizona Diamondbacks
DSL Bautista,Boca Chica Northwest,San Antonio de Guerra,Santo Domingo,Las Américas Complex,Los Angeles Dodgers
DSL Shoemaker,Boca Chica North,San Antonio de Guerra,Santo Domingo,Las Palmas Complex,Los Angeles Dodgers
DSL Giants,Boca Chica Northeast,Boca Chica,Santo Domingo,Felipe Rojas Alou Complex,San Francisco Giants
DSL Indians,Boca Chica North,San Antonio de Guerra,Santo Domingo,Cleveland Indians Complex,Cleveland Indians
DSL Indians / Brewers,Boca Chica North,San Antonio de Guerra,Santo Domingo,Cleveland Indians Complex,Cleveland Indians Milwaukee Brewers
DSL Mariners,Boca Chica Northeast,San Antonio de Guerra,Santo Domingo,Seattle Mariners Complex,Seattle Mariners
DSL Marlins,Boca Chica Northwest,Boca Chica,Santo Domingo,Miami Marlins Complex,Miami Marlins
