Contestant,Song ( Artist ),Percentage/ calls
Martin Stosch,Tears in Heaven ( Eric Clapton ),"7,59% ( 5/10 )"
Julia Falke,What 's Up ( 4 Non Blondes ),"3,90% ( 9/10 )"
Thomas Enns,Iris ( Goo Goo Dolls ),"6,20% ( 6/10 )"
Laura Martin,Do n't Wan na Lose You ( Gloria Estefan ),"2,45% ( 10/10 )"
Max Buskohl,Fly Away ( Lenny Kravitz ),"6,00% ( 7/10 )"
Lauren Talbot,I 'm Like a Bird ( Nelly Furtado ),"7,62% ( 4/10 )"
Jonathan Enns,Angels ( Robbie Williams ),"4,16% ( 8/10 )"
Francisca Urio,"Lady Marmalade ( Christina Aguilera , Pink , Mýa , Lil ' Kim )","15,00% ( 3/10 )"
Mark Medlock,Hello ( Lionel Richie ),"25,85% ( 1/10 )"
Lisa Bund,Because of You ( Kelly Clarkson ),"21,24% ( 2/10 )"
