Country,Name,Acronym,Status
Australia,Anarcho-Syndicalist Federation,ASF,Section
Austria,Wiener ArbeiterInnen Syndikat,WAS,Friend
Bangladesh,Bangladesh Anarcho-Syndicalist Federation,BASF,Section
Brazil,Confederação Operária Brasileira,COB,Section
Bulgaria,Autonomous Workers ' Union,ARS,Friend
Chile,Germinal,,Friend
Colombia,Unión Libertaria Estudiantil y del Trabajo,ULET,Friend
France,Confédération nationale du travail,CNTF-AIT,Section
India,Muktivadi Ekta Morcha,MEM,Friend
Indonesia,Persaudaraan Pekerja Anarko Sindikalis,PPAS,Section
Norway,Norsk Syndikalistisk Forbund,NSF-IAA,Section
Poland,Związek Syndykalistów Polski,ZSP-MSP,Section
Russia,Confederation of Revolutionary Anarcho-Syndicalists,KRAS-MAT,Section
Serbia,Anarho-sindikalistička inicijativa,ASI-MUR,Section
Slovakia,Priama Akcia,PA-MAP,Section
Spain,Confederación Nacional del Trabajo - Asociación Internacional de los Trabajadores,CNT-AIT,Section
Sweden,Örestad Lokala Samorganisation,OLS,Section
United Kingdom,Solidarity Federation,SF-IWA,Section
United States,Workers ' Solidarity Alliance,WSA,Friend
