Name,Source of data,Abbreviation
Atom probe tomography,Atom probe,APT
Computed Tomography Imaging Spectrometer,Visible light spectral imaging,CTIS
Computed tomography of chemiluminescence,Chemiluminescence Flames,CTC
Confocal microscopy ( Laser scanning confocal microscopy ),Laser scanning confocal microscopy,LSCM
Cryogenic electron tomography,Cryogenic transmission electron microscopy,CryoET
Electrical capacitance tomography,Electrical capacitance,ECT
Electrical capacitance volume tomography,Electrical capacitance,ECVT
Electrical resistivity tomography,Electrical resistivity,ERT
Electrical impedance tomography,Electrical impedance,EIT
Electron tomography,Transmission electron microscopy,ET
Focal plane tomography,X-ray,
Functional magnetic resonance imaging,Magnetic resonance,fMRI
Hydraulic tomography,fluid flow,HT
Infrared microtomographic imaging,Mid-infrared,
Laser Ablation Tomography,Laser Ablation & Fluorescent Microscopy,LAT
Magnetic induction tomography,Magnetic induction,MIT
Magnetic resonance imaging or nuclear magnetic resonance tomography,Nuclear magnetic moment,MRI or MRT
Muon tomography,Muon,
Microwave tomography,Microwave ( 1-10 GHz electromagnetic radiation ),
Neutron tomography,Neutron,
