Medal,Name,Sport,Event,Date
Gold,Daniel Godelli,Weightlifting,Men 's -69 kg snatch,22 June
Gold,Daniel Godelli,Weightlifting,Men 's -69 kg clean & jerk,22 June
Gold,Ervis Tabaku,Weightlifting,Men 's -94 kg snatch,25 June
Silver,Romela Begaj,Weightlifting,Women 's -63 kg snatch,23 June
Silver,Luiza Gega,Athletics,Women 's 1500 m,26 June
Bronze,Briken Calja,Weightlifting,Men 's -69 kg snatch,22 June
Bronze,Briken Calja,Weightlifting,Men 's -69 kg clean & jerk,22 June
Bronze,Romela Begaj,Weightlifting,Women 's -63 kg clean & jerk,23 June
Bronze,Ervis Tabaku,Weightlifting,Men 's -94 kg clean & jerk,25 June
Bronze,Egzon Shala,Wrestling,Men 's Freestyle -96 kg,26 June
