Regiment,Brigade,Division
1st Life Guards,7th Cavalry Brigade,3rd Cavalry Division
2nd Life Guards,7th Cavalry Brigade,3rd Cavalry Division
Royal Horse Guards,7th Cavalry Brigade 8th Cavalry Brigade,3rd Cavalry Division
Household Cavalry Composite Regiment,4th Cavalry Brigade,2nd Cavalry Division
1st ( King 's ) Dragoon Guards,8th ( Lucknow ) Cavalry Brigade,1st Indian Cavalry Division
2nd Dragoon Guards ( Queen 's Bays ),1st Cavalry Brigade,1st Cavalry Division
3rd ( Prince Of Wales 's ) Dragoon Guards,6th Cavalry Brigade,3rd Cavalry Division
4th ( Royal Irish ) Dragoon Guards,2nd Cavalry Brigade,1st Cavalry Division
5th ( Princess Charlotte of Wales 's ) Dragoon Guards,1st Cavalry Brigade,1st Cavalry Division
6th Dragoon Guards ( Carabiniers ),4th Cavalry Brigade,2nd Cavalry Division
7th ( Princess Royal 's ) Dragoon Guards,9th ( Secunderabad ) Cavalry Brigade 7th Cavalry Brigade,2nd Indian Cavalry Division 3rd Cavalry Division
1st ( Royal ) Dragoons,6th Cavalry Brigade,3rd Cavalry Division
2nd Dragoons ( Royal Scots Greys ),5th Cavalry Brigade,2nd Cavalry Division
3rd ( King 's Own ) Hussars,4th Cavalry Brigade,2nd Cavalry Division
4th ( Queen 's Own ) Hussars,3rd Cavalry Brigade,2nd Cavalry Division
5th ( Royal Irish ) Lancers,3rd Cavalry Brigade,2nd Cavalry Division
6th ( Inniskilling ) Dragoons,5th ( Mhow ) Cavalry Brigade 7th Cavalry Brigade,1st Indian Cavalry Division 2nd Indian Cavalry Division 3rd Cavalry Division
7th ( Queen 's Own ) Hussars,11th Indian Cavalry Brigade,Mesopotamia Cavalry Division
8th ( King 's Royal Irish ) Hussars,3rd ( Ambala ) Cavalry Brigade 9th Cavalry Brigade,2nd Indian Cavalry Division 1st Cavalry Division
9th ( Queen 's Royal ) Lancers,2nd Cavalry Brigade,1st Cavalry Division
