Trade,Player,Traded from,Traded to,Traded for
1,Steven Morris ( West Adelaide ) draft pick No . 15,Greater Western Sydney,Richmond,draft pick No . 14
2,Martin Clarke ( Down GAA ) Jamie Elliott ( Murray Bushrangers ) draft pick No . 67,Greater Western Sydney,Collingwood,draft pick No . 25
3,Jack Gunston draft pick No . 53 and 71,Adelaide,Hawthorn,"draft picks No . 24 , 46 and 64"
4,draft pick No . 4 compensation draft pick ( first round ),Gold Coast,Greater Western Sydney,Mini-draft pick No . 1 draft pick No . 31
5,Terry Milera ( Port Adelaide Magpies ) Ahmed Saad ( Northern Bullants ) draft pick No . 25,Greater Western Sydney,St Kilda,draft pick No . 20
6,draft pick No . 20,Greater Western Sydney,Fremantle,compensation draft pick ( end of first round )
7,Luke Brown ( Norwood ) Mini-draft pick No . 2,Greater Western Sydney,Adelaide,draft pick No . 10 compensation draft pick ( first round )
8,Will Sierakowski,Hawthorn,North Melbourne,draft pick No . 58
9,Ivan Maric,Adelaide,Richmond,draft pick No . 37
10,Tom Lynch,St Kilda,Adelaide,draft pick No . 37
11,Brent Renouf,Hawthorn,Port Adelaide,draft pick No . 33
12,Mitch Clark,Brisbane Lions,Melbourne,draft pick No . 12
13,Jordan Lisle,Hawthorn,Brisbane Lions,priority draft pick ( No . 29 )
14,draft picks No . 38 and 56,Fremantle,Hawthorn,priority draft pick ( No . 29 ) draft picks No . 58 and 71
15,Jarrad Boumann ( Box Hill Hawks ),Greater Western Sydney,Hawthorn,draft pick No . 56
16,Chad Cornes Dean Brogan draft pick No . 69,Port Adelaide,Greater Western Sydney,draft pick No . 49
17,Brad Ebert draft pick No . 45,West Coast,Port Adelaide,priority draft pick ( No . 28 ) draft pick No . 49
18,Peter Yagmoor ( QLD zone selection ) draft pick No . 50,Gold Coast,Collingwood,draft pick No . 47
19,Mitch Morton,Richmond,Sydney,draft pick No . 79
20,Luke Power,Brisbane Lions,Greater Western Sydney,draft pick No . 69
