Arena,School,Location,Province,Capacity,Year Opened
Universidad de Zamboanga Summit Centre,Universidad de Zamboanga,Zamboanga City,Zamboanga del Sur,"10,000",1998
La Salle Coliseum,University of St. La Salle,Bacolod,Negros Occidental,"8,000",1995
Blue Eagle Gym,Ateneo de Manila University,Quezon City,Metro Manila,"7,500",1949
Quadricentennial Pavilion,University of Sto . Tomas,Manila,Metro Manila,"6,000",2009
USA Gymnasium,University of San Agustin,Iloilo City,Iloilo,"5,000",
USEP Gymnasium,University of Southeastern Philippines,Davao City,Davao del Sur,"5,000",2012
MSU-IIT Gymnasium,Mindanao State University - Iligan Institute of Technology,Iligan,Iligan,"5,000",1968
CEU Malolos Centrodome,Centro Escolar University - Malolos,Malolos,Bulacan,"5,000",
Xavier Ateneo Sports Centre,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Misamis Oriental,"4,500",2017
Colegio San Agustin - Makati Cassisiacum Sports Complex,Colegio San Agustin - Makati,Makati,Metro Manila,"4,500",
Urios Gym,Father Saturnino Urios University,Butuan,Agusan del Norte,"4,300",1997
USJ-R Basak Coliseum,University of San Jose-Recoletos,Cebu City,Cebu,"4,000",
Aznar Coliseum,Southwestern University,Cebu City,Cebu,"4,000",
Recoletos Coliseum,University of San Jose-Recoletos,Cebu City,Cebu,"4,000",1984
USC Gymnasium,University of San Carlos,Cebu City,Cebu,"4,000",
St. Anthony Dome,St. Anthony College Calapan,Calapan City,Oriental Mindoro,"4,000",
Olivarez College Gym,Olivarez College,Parañaque,Metro Manila,"3,500",
Xavier University Gym,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Misamis Oriental,"3,500",
One SCC Civic Center,Southern City Colleges West Campus,Zamboanga City,Zamboanga del Sur,"3,500",2016
DWCC Gymnasium,Divine Word College of Calapan,Calapan City,Oriental Mindoro,"3,000",
