Team,Location,Stadium,2012 season
BÍ/Bolungarvík,Ísafjörður / Bolungarvík,Torfnesvöllur,9th
Fjölnir,Reykjavík,Fjölnisvöllur,7th
Grindavík,Grindavík,Grindavíkurvöllur,"Úrvalsdeild , 12th"
Haukar,Hafnarfjörður,Schenkervöllurinn,5th
KA,Akureyri,Akureyrarvöllur,4th
KF,Fjallabyggð,Ólafsfjarðarvöllur,"2. deild , 2nd"
Leiknir R,Reykjavík,Leiknisvöllur,10th
Selfoss,Selfoss,Selfossvöllur,"Úrvalsdeild , 11th"
Tindastóll,Sauðárkrókur,Sauðárkróksvöllur,8th
Víkingur R,Reykjavík,Víkin,6th
Völsungur,Húsavík,Húsavíkurvöllur,"2. deild , 1st"
Þróttur R,Reykjavík,Valbjarnarvöllur,3rd
