Date from,Position,Name,To,Fee
1 July 2015,MF,Blair Anderson,Basford United,Released
1 July 2015,MF,Charles Banya,Maidstone United,Released
1 July 2015,FW,John Cofie,Wrexham F.C,Released
1 July 2015,DF,Ryan Dickson,Yeovil Town,Nominal
1 July 2015,MF,Marvin Elliott,-,Released
1 July 2015,MF,Bradley Issacs,-,Released
1 July 2015,GK,Brian Jensen,Mansfield Town,Free transfer
1 July 2015,DF,Dean Leacock,Whitehawk F.C,Released
1 July 2015,MF,Dean Morgan,U.S. Ancona 1905,Released
1 July 2015,MF,Emmett O'Connor,-,Released
1 July 2015,MF,Ryan Richefond,Loxwood F.C,Released
1 July 2015,MF,Josh Simpson,Plymouth Argyle,Free transfer
1 July 2015,DF,Joe Walsh,Milton Keynes Dons,Undisclosed
1 July 2015,MF,Kelly Youga,-,Released
22 August 2015,FW,Izale McLeod,Notts County,Undisclosed
