Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
American Smooth,Gethin Jones,38,John Barnes,22
Argentine Tango,Alesha Dixon,38,Matt Di Angelo,35
Cha-Cha-Cha,Alesha Dixon,39,Gethin Jones Kenny Logan,22
Foxtrot,Alesha Dixon,36,John Barnes,24
Jive,Gethin Jones,37,Dominic Littlewood Penny Lancaster-Stewart,25
Paso Doble,Alesha Dixon,36,Kenny Logan Kate Garraway,21
Quickstep,Alesha Dixon,38,Kate Garraway,15
Rumba,Kelly Brook Matt Di Angelo,33,Letitia Dean Kenny Logan,23
Samba,Alesha Dixon,36,Kate Garraway,16
Salsa,Matt Di Angelo,39,Kate Garraway,18
Tango,Alesha Dixon,38,Kate Garraway,19
Viennese Waltz,Alesha Dixon,38,Kenny Logan,26
Waltz,Matt Di Angelo,40,Brian Capron,18
