Name,Service,Rank,Place of action,Date of action,Notes
Robert E. Galer,Marine Corps,Major,Solomon Islands area,Aug 1942 - Sep 1942,For service in the Solomon Islands as the leader of a Marine fighter squadron
William W. Galt †,Army,Captain,"Villa Crocetta , Italy","May 29 , 1944",For his leadership and courage in directing an assault against an entrenched force that had repulsed two previous attacks
Archer T. Gammon †,Army,Staff Sergeant,"near Bastogne , Belgium","January 11 , 1945","While under fire from a German machine gun and tank , counterattacked the German force and forced them to retreat with grenade and small arms fire"
Joe Gandara †,Army,Private,"Amfreville , France","June 9 , 1944",Advanced voluntarily and alone toward an enemy position and destroyed three hostile machine guns before being fatally wounded
Marcario Garcia,Army,Private,"near Grosshau , Germany","November 27 , 1944","After realizing that his company could not advance because it was pinned down by enemy machine gun fire , on his own initiative , went alone and destroyed 2 enemy emplacements and captured 4 prisoners . Despite being wounded himself , he continued to fight on with his unit until the objective was taken"
Harold A. Garman,Army,Private,"near Montereau , France","August 25 , 1944","When a boat loaded with wounded came under fire from a German machine gun on the opposite river bank , he dove into the river braving enemy machine gun fire to tow the boat to safety"
Donald A. Gary,Navy,"Lieutenant , Junior Grade","Japanese home islands near Kobe , Japan","March 19 , 1945",For braving hazardous conditions on the USS Franklin when it was hit by enemy fire to save sailors trapped inside the vessel 's hull
Robert E. Gerstung,Army,Technical Sergeant,"Siegfried Line near Berg , Germany","December 19 , 1944",
Eric G. Gibson †,Army,Technician Fifth Grade,"near Isola Bella , Italy","January 28 , 1944",
Howard W. Gilmore †,Navy,Commander,"USS Growler , southwest Pacific","January 10 , 1943 - February 7 , 1943","While wounded on the bridge and unable to get below in time , gave the order for the submarine to crash dive to avoid an imminent attack , sacrificing himself to save the ship and the crew"
Harold Gonsalves †,Marine Corps,Private First Class,"Okinawa Shima , Ryukyu Chain","April 15 , 1945","While laying telephone lines for communication with the artillery battalion in Okinawa , he saved 2 other marines after flinging himself atop of a Japanese grenade and taking the full brunt of the resulting explosion allowing the other 2 men to complete the mission"
David M. Gonzales †,Army,Private First Class,"Villa Verde Trail , Luzon , Philippines","April 25 , 1945",
Nathan G. Gordon,Navy,"Lieutenant , Junior Grade",Bismarck Sea,"February 15 , 1944",Later Lieutenant Governor of Arkansas
Donald J. Gott †,Air Forces,First Lieutenant,"Saarbrücken , Germany","November 9 , 1944","Piloted a B-17 aircraft on a bombing run on Saarbrücken . Even though his plane was severely damaged and set ablaze by anti-aircraft fire which wounded the engineer and the radio operator , Gott and co-pilot William E. Metzger , Jr. successfully dropped their bombs on the target and flew the plane to friendly territory . After having their crew bail out except for the unconscious radio operator , Gott and Metzger attempted to crashland the plane to save their helpless comrade . The plane exploded , killing the three remaining crewmembers on board"
William J. Grabiarz †,Army,Private First Class,"Manila , Luzon , Philippines","February 23 , 1945",For using his body to shield a wounded officer from hostile fire
Ross F. Gray †,Marine Corps,Sergeant,"Iwo Jima , Volcano Islands","February 21 , 1945",Single-handedly overcame a strong enemy garrison and completely disarmed a large mine field before finally rejoining his unit
Stephen R. Gregg,Army,Technical Sergeant,"near Montelimar , France","August 27 , 1944",
Kenneth E. Gruennert †,Army,Sergeant,"near Buna , New Guinea","December 24 , 1942",
Henry Gurke †,Marine Corps,Private First Class,"Bougainville Island , Solomon Islands Archipelago","November 9 , 1943","Fell on a grenade that landed in his foxhole , saving the man with him"
