US,Album,Artist,Record Label
51,10,John Anderson,MCA
26,Across the Rio Grande,Holly Dunn,MTM
46,Alive & Well,Larry Gatlin and the Gatlin Brothers,Columbia
29,All in Love,Marie Osmond,Capitol/Curb
29,As I Am,Anne Murray,Capitol
36,Best of Eddy Raven,Eddy Raven,RCA
60,Brand New,Gary Stewart,Hightone
52,Chasing Rainbows,Mickey Gilley,Airborne
61,"A Christmas Tradition , Vol . II",Various Artists,Warner Bros
29,The Coast of Colorado,Skip Ewing,MCA
56,Every Christmas,Gary Morris,Warner Bros
33,Exchange of Hearts,David Slater,Capitol
36,Full Circle,Waylon Jennings,MCA
36,The Gift,The McCarters,Warner Bros
66,Greatest Hits,Kenny Rogers,RCA
27,Greatest Hits Volume Two,Lee Greenwood,MCA
33,The Heart of It All,Earl Thomas Conley,RCA
49,Higher Ground,John Denver,Windstar
37,Hot Dog !,Buck Owens,Capitol
51,I Guess I Just Missed You,Canyon,16th Avenue
