Club,League/Division,Lvl,State,City
Narrabundah,Capital League,3,Australian Capital Territory,Canberra
Nelson Eastern Suburbs FC,Southern Championship,3,Tasmania,Hobart
Nepean,NSW State League,5,New South Wales,Sydney
New Lambton,Northern NSW State League Division 1,3,New South Wales,Newcastle
New Norfolk Panthers,Southern Conference 1,5,Tasmania,New Norfolk
New Town Eagles FC,Southern Championship,3,Tasmania,Hobart
Newcastle Jets,A-League,1,New South Wales,Newcastle
Newmarket Phoenix,Victorian State League Division 4,7,Victoria,Melbourne
Noarlunga United,South Australian State League 2,4,South Australia,Adelaide
Noble Park,Victorian State League Division 4,7,Victoria,Melbourne
Noble Park United,Victorian State League Division 3,6,Victoria,Melbourne
North Caulfield Maccaba,Victorian State League Division 2,5,Victoria,Melbourne
North City Wolves,Victorian State League Division 4,7,Victoria,Melbourne
North Eastern MetroStars,National Premier Leagues South Australia,2,South Australia,Adelaide
North Geelong Warriors,National Premier Leagues Victoria,2,Victoria,Geelong
North Melbourne Athletic,Victorian State League Division 4,7,Victoria,Melbourne
North Sunshine Eagles,Victorian State League Division 1,4,Victoria,Melbourne
North Shore Mariners,National Premier Leagues NSW,3,New South Wales,Sydney
Northcote City,National Premier Leagues Victoria 2,3,Victoria,Melbourne
Northern Demons,National Premier Leagues State League 2,4,South Australia,Port Pirie
