Episode,Couple 1,Couple 2,Couple 3,Original air date
1,Brigitte Nielsen with husband Mattia,Peter Shilton with wife Sue,Keith Duffy with wife Lisa,2 May 2009
2,Rick Parfitt with wife Lyndsey,Ulrika Jonsson with husband Brian,Alan Halsall with fiancée Lucy-Jo Hudson,9 May 2009
3,Donal MacIntyre with wife Ameera,Eamonn Holmes with fiancée Ruth Langsford,Sharon Small with partner Dan Bridge,16 May 2009
4,Tina Hobley with husband Oliver,Brian Blessed with wife Hildegarde Neil,Gary Lucy with partner Natasha,23 May 2009
5,Liz Dawn with husband Don,Morten Harket with partner Inez,Matt Willis with wife Emma Griffiths,30 May 2009
6,Jimmy Osmond with wife Michelle,Willie Thorne with wife Jill,Rita Simons with husband Theo,6 June 2009
7,Anne Kirkbride with husband Dave,Sir Stirling Moss with wife Susie,Michael Underwood with partner Angellica Bell,13 June 2009
8,John Thomson with wife Samantha,Gaynor Faye with partner Mark,Goldie with wife Mika,20 June 2009
9,Lord David Steel with wife Judy,Shaun Williamson with wife Melanie,Keisha Buchanan with partner Dean,27 June 2009
10,Angela Griffin with husband Jason,Tito Jackson with partner Sonia,Andrew Castle with wife Sophia,N/A
