Club,Location,2010 Championship Position,2011 Championship Position
Blackhall Gaels,Batterstown,Non Qualifier,Non Qualifier
Donaghmore/Ashbourne,Ashbourne,Quarter Finalist,Semi Finalist
Duleek/Bellewstown,Duleek,Quarter Finalist,Relegation Play Off
Dunshaughlin,Dunshaughlin,Non Qualifier,Finalist
Navan O'Mahonys,Navan,Non Qualifier,Quarter Finalist
Nobber,Nobber,Intermediate Champions,Relegation Play Off
Oldcastle,Oldcastle,Relegation Play Off,Non Qualifier
Rathkenny,Rathkenny,Semi Finalist,Non Qualifier
Seneschalstown,Kentstown,Finalist,Non Qualifier
Simonstown Gaels,Navan,Relegation Play Off,Quarter Finalist
Skryne,Skryne,Champions,Non Qualifier
St Patricks,Stamullen,Non Qualifier,Non Qualifier
St Peters Dunboyne,Dunboyne,Semi Finalist,Quarter Finalist
Summerhill,Summerhill,Non Qualifier,Champions
Trim,Trim,Non Qualifier,Relegated to Intermediate
Walterstown,Navan,Quarter Finalist,Quarter Finalist
Wolfe Tones,Kilberry,Quarter Finalist,Semi Finalist
