Title,Developer ( s ),Publisher ( s ),Release Date,ESRB
Bomberman '93,Hudson Soft,Hudson Soft,"November 21 , 2006",E
Bonk 's Adventure,"Red Company , Atlus",Hudson Soft,"November 21 , 2006",E
Super Star Soldier,Kaneko,Hudson Soft,"November 27 , 2006",E
Victory Run,Hudson Soft,Hudson Soft,"December 4 , 2006",E
Alien Crush,Compile,Hudson Soft,"December 11 , 2006",E
Military Madness,Hudson Soft,Hudson Soft,"December 18 , 2006",E
"R-Type ( not available from March 30 , 2012 to September 19 , 2013 )",Hudson Soft,"Hudson Soft , Irem","December 25 , 2006",E
Dungeon Explorer,Atlus,Hudson Soft,"January 8 , 2007",E
Soldier Blade,Hudson Soft,Hudson Soft,"January 8 , 2007",E
Moto Roader,NCS,Hudson Soft,"January 15 , 2007",E
"Vigilante ( not available from March 30 , 2012 to September 19 , 2013 )",Irem,"Hudson Soft , Irem","February 5 , 2007",E
New Adventure Island,Now Production,Hudson Soft,"February 19 , 2007",E
Chew Man Fu,Now Production,Hudson Soft,"February 26 , 2007",E
Double Dungeons,NCS,Hudson Soft,"March 12 , 2007",E
Splatterhouse,Namco,"Hudson Soft , Bandai Namco","March 19 , 2007",T
Dragon 's Curse,Hudson Soft,Hudson Soft,"April 2 , 2007",E
Bravoman,Now Production,"Hudson Soft , Bandai Namco","April 9 , 2007",E
Bonk 's Revenge,"Red Company , Mutech",Hudson Soft,"April 16 , 2007",E
Battle Lode Runner,Hudson Soft,Hudson Soft,"April 23 , 2007",E
Shockman,Winds Corp,Hudson Soft,"April 30 , 2007",E
