Round,Pick,Player,Recruited from,Club
Priority,1,Luke Hodge,Geelong Falcons,Hawthorn
Priority,2,Luke Ball,Sandringham Dragons,St Kilda
Priority,3,Chris Judd,Sandringham Dragons,West Coast Eagles
1,4,Graham Polak,East Fremantle,Fremantle
1,5,Xavier Clarke,St Mary 's,St Kilda
1,6,Ashley Sampi,South Fremantle,West Coast Eagles
1,7,David Hale,Broadbeach,Kangaroos
1,8,Jimmy Bartel,Geelong Falcons,Geelong
1,9,Luke Molan,Geelong Falcons,Melbourne
1,10,Sam Power,Oakleigh Chargers,Western Bulldogs
1,11,Richard Cole,Eastern Ranges,Collingwood
1,12,Brent Reilly,Calder Cannons,Adelaide
1,13,Nick Dal Santo,Bendigo Pioneers,St Kilda
1,14,Ashley Watson,Bendigo Pioneers,Kangaroos
1,15,Barry Brooks,Tassie Mariners,Port Adelaide
1,16,Rick Ladson,Bendigo Pioneers,Hawthorn
1,17,James Kelly,Calder Cannons,Geelong
1,18,Shane Harvey,Northern Knights,Essendon
1,19,Jason Gram,Gippsland Power,Brisbane Lions
2,20,Daniel Elstone,Bendigo Pioneers,Hawthorn
