Season,Winner,Team,Win #
2001-02,Stefan Liv,HV71,1
2002-03,Henrik Lundqvist,Västra Frölunda HC,1
2003-04,Henrik Lundqvist,Västra Frölunda HC,2
2004-05,Henrik Lundqvist,Frölunda HC,3
2005-06,Johan Holmqvist,Brynäs IF,1
2006-07,Erik Ersberg,HV71,1
2007-08,Daniel Larsson,Djurgårdens IF,1
2008-09,Johan Holmqvist,Frölunda HC,2
2009-10,Jacob Markström,Brynäs IF,1
2010-11,Viktor Fasth,AIK,1
2011-12,Viktor Fasth,AIK,2
2012-13,Gustaf Wesslau,HV71,1
2013-14,Linus Ullmark,Modo Hockey,1
2014-15,Joel Lassinantti,Luleå HF,1
2015-16,Lars Johansson,Frölunda HC,1
2016-17,Oscar Alsenfelt,Malmö Redhawks,1
2017-18,Viktor Fasth,Växjö Lakers,3
2018-19,Adam Reideborn,Djurgårdens IF,1
