Year,French title,English title,Directed by
1930,À propos de Nice,About Nice,Jean Vigo
1931,"Taris , roi de l'eau","Jean Taris , Swimming Champion",Jean Vigo
1931,À Nous la Liberté,Freedom for Us,René Clair
1933,Zéro de conduite,Zero for Conduct,Jean Vigo
1934,L'Atalante,L'Atalante,Jean Vigo
1935,La Kermesse héroïque,Carnival in Flanders,Jacques Feyder
1937,Drôle de drame ou L'étrange aventure de Docteur Molyneux,"Bizarre , Bizarre",Marcel Carné
1937,La Grande Illusion,The Grand Illusion,Jean Renoir
1938,La Femme du boulanger,The Baker 's Wife,Marcel Pagnol
1939,La règle du jeu,The Rules of the Game,Jean Renoir
