#,Title,Co-stars,Year,Director,Series
1,The Big Snooze,Elmer,"October 5 , 1946",Bob Clampett,LT
2,Broom-Stick Bunny,Witch Hazel,"February 25 , 1956",Chuck Jones,LT
3,Bugs Bunny Rides Again,Yosemite Sam,"June 12 , 1948",Friz Freleng,MM
4,Bunny Hugged,The Crusher,"March 10 , 1951",Chuck Jones,MM
5,French Rarebit,,"June 30 , 1951",Robert McKimson,MM
6,Gorilla My Dreams,Gruesome Gorilla,"January 3 , 1948",Robert McKimson,LT
7,The Hare-Brained Hypnotist,Elmer,"October 31 , 1942",Friz Freleng,MM
8,Hare Conditioned,,"August 11 , 1945",Chuck Jones,LT
9,The Heckling Hare,Willoughby,"July 5 , 1941",Tex Avery,MM
10,Little Red Riding Rabbit,,"January 4 , 1944",Friz Freleng,MM
11,Tortoise Beats Hare,Cecil,"March 15 , 1941",Tex Avery,MM
12,Rabbit Transit,Cecil,"May 10 , 1947",Friz Freleng,LT
13,Slick Hare,Elmer,"November 1 , 1947",Friz Freleng,MM
14,Baby Buggy Bunny,,"December 18 , 1954",Chuck Jones,MM
15,Hyde and Hare,,"August 27 , 1955",Friz Freleng,LT
