Medal,Name ( s ),Games,Sport,Event
Bronze,Milka Milinković,1992 Barcelona,Athletics,Women 's javelin throw THW5
Bronze,Mihovil Španja,2004 Athens,Swimming,Men 's 100 m backstroke S8
Bronze,Mihovil Španja,2004 Athens,Swimming,Men 's 200 m individual medley SM8
Bronze,Mihovil Španja,2004 Athens,Swimming,Men 's 400 m freestyle S8
Bronze,Jelena Vuković,2004 Athens,Athletics,Women 's discus throw F42-46
Gold,Antonia Balek,2008 Beijing,Athletics,Women 's javelin throw F33-34/52-53
Gold,Antonia Balek,2008 Beijing,Athletics,Women 's shot put F32-34/52-53
Gold,Darko Kralj,2008 Beijing,Athletics,Men 's shot put F42
Silver,Branimir Budetić,2008 Beijing,Athletics,Men 's javelin throw F11-12
Silver,Darko Kralj,2012 London,Athletics,Men 's shot put F42-44
Silver,Zoran Talić,2012 London,Athletics,Men 's long jump F20
Bronze,Branimir Budetić,2012 London,Athletics,Men 's javelin throw F12-13
Bronze,Mikela Ristoski,2012 London,Athletics,Women 's long jump F20
Bronze,Mihovil Španja,2012 London,Swimming,Men 's 100 m backstroke S7
Gold,Sandra Paović,2016 Rio de Janeiro,Table tennis,Women 's individual C6
Gold,Mikela Ristoski,2016 Rio de Janeiro,Athletics,Women 's long jump F20
Silver,Zoran Talić,2016 Rio de Janeiro,Athletics,Men 's long jump F20
Silver,Anđela Mužinić and Helena Dretar Karić,2016 Rio de Janeiro,Table tennis,Women 's team C1-3
Bronze,Velimir Šandor,2016 Rio de Janeiro,Athletics,Men 's discus throw F52
