,Landmark name,Date designated,Location,County,Description
1,Amana Colonies,"June 23 , 1965 ( # 66000336 )",Middle Amana 41°47′59″N 91°55′15″W / 41.799722°N 91.920833°W / 41.799722 ; -91.920833 ( Amana Colonies ),Iowa,"Amana Villages community , historic and modern"
2,Blood Run Site,"May 22 , 1970 ( # 70000246 )","Granite , IA and Shindler , SD 43°28′N 96°35′W / 43.47°N 96.58°W / 43.47 ; -96.58 ( Blood Run Site )","Lyon , IA and Lincoln , SD","An archaeological site , overlapping into South Dakota"
3,Davis Oriole Earthlodge Site,"October 16 , 2012 ( # 12001018 )",Glenwood 41°04′16″N 95°47′12″W / 41.071111°N 95.786667°W / 41.071111 ; -95.786667 ( Davis Oriole Earthlodge Site ),Mills,A well-preserved Plains Indian lodge archaeological site ; located in Pony Creek Park
4,Grenville M. Dodge House,"November 5 , 1961 ( # 66000338 )",Council Bluffs 41°15′18″N 95°50′53″W / 41.25513°N 95.84813°W / 41.25513 ; -95.84813 ( Grenville M. Dodge House ),Pottawattamie,
5,Dubuque County Jail,"May 28 , 1987 ( # 72000473 )",Dubuque 42°30′06″N 90°39′53″W / 42.50154°N 90.66470°W / 42.50154 ; -90.66470 ( Dubuque County Jail ),Dubuque,
6,The Farm House,"July 19 , 1964 ( # 66000339 )",Ames 42°01′41″N 93°38′32″W / 42.02807°N 93.64222°W / 42.02807 ; -93.64222 ( The Farm House ),Story,"Home of agriculturist and teacher Seagram A. Knapp and of U.S. Secretary of Agriculture James Wilson , now on Iowa State University campus"
7,Fort Des Moines Provisional Army Officer Training School,"May 30 , 1974 ( # 74000805 )",Des Moines 41°31′36″N 93°36′55″W / 41.526606°N 93.615233°W / 41.526606 ; -93.615233 ( Fort Des Moines Provisional Army Officer Training School ) 41°31′36″N 93°36′55″W / 41.526606°N 93.615233°W / 41.526606 ; -93.615233 ( Fort Des Moines Provisional Army Officer Training School ),Polk,Training site for black officers in World War I
8,George M. Verity ( towboat ),"December 20 , 1989 ( # 89002459 )",Keokuk 40°23′29″N 91°22′21″W / 40.39129°N 91.37250°W / 40.39129 ; -91.37250 ( George M. Verity ( towboat ) ),Lee,"One of three surviving steam-powered towboats in the United States , this ship pioneered on upper Mississippi in a certain way , leading to large private industry"
9,William P. Hepburn House,"December 8 , 1976 ( # 73000736 )",Clarinda 40°44′30″N 95°02′31″W / 40.741667°N 95.041806°W / 40.741667 ; -95.041806 ( William P. Hepburn House ),Page,
10,Reverend George B. Hitchcock House,"February 17 , 2006 ( # 77000500 )",Lewis 41°18′12″N 95°06′12″W / 41.30325°N 95.103472°W / 41.30325 ; -95.103472 ( Reverend George B. Hitchcock House ),Cass,
11,Herbert Hoover Birthplace,"June 23 , 1965 ( # 66000110 )",West Branch 41°40′07″N 91°20′53″W / 41.668611°N 91.348056°W / 41.668611 ; -91.348056 ( Herbert Hoover Birthplace ),Cedar,"Two-room cottage birthplace of Herbert Hoover , 31st U.S. President"
12,Indian Village Site ( Witrock Area ),"July 19 , 1964 ( # 66000888 )",Sutherland 42°58′50″N 95°25′22″W / 42.98055556°N 95.42277778°W / 42.98055556 ; -95.42277778 ( Indian Village Site ( Witrock Area ) ),O'Brien,An archaeological site
13,Kimball Village Site,"December 23 , 2016 ( # 100000835 )",Westfield,Plymouth,Late Prehistoric Plains Village site
14,Lone Star ( towboat ),"December 20 , 1989 ( # 89002461 )",LeClaire 41°35′54″N 90°20′33″W / 41.598303°N 90.342553°W / 41.598303 ; -90.342553 ( Lone Star ( towboat ) ),Scott,A towboat
15,Merchants ' National Bank,"January 7 , 1976 ( # 76000804 )",Grinnell 41°44′32″N 92°43′33″W / 41.74229°N 92.72580°W / 41.74229 ; -92.72580 ( Merchants ' National Bank ),Poweshiek,Louis Sullivan -designed bank building on a corner in Grinnell
16,Julien Dubuque 's Mines,"November 4 , 1993 ( # 88002662 )",Dubuque 42°28′07″N 90°38′47″W / 42.468739°N 90.646311°W / 42.468739 ; -90.646311 ( Julien Dubuque 's Mines ),Dubuque,Historic district including Julien Dubuque Monument and archaeological sites relating to early lead mining in area
17,Old Capitol,"January 7 , 1976 ( # 72000475 )",Iowa City 41°39′34″N 91°32′08″W / 41.65943°N 91.53565°W / 41.65943 ; -91.53565 ( Old Capitol ),Johnson,"It is one of the five-building Pentacrest , another NRHP"
18,Phipps Site,"July 19 , 1964 ( # 66000335 )",Cherokee,Cherokee,An archaeological site
19,Sergeant Floyd ( towboat ),"May 5 , 1989 ( # 89001079 )",Sioux City 42°29′28″N 96°25′07″W / 42.491175°N 96.418581°W / 42.491175 ; -96.418581 ( Sergeant Floyd ( towboat ) ),Woodbury,Another of just 3 steam-powered towboats surviving
20,Sergeant Floyd Monument,"June 30 , 1960 ( # 66000340 )",Sioux City 42°27′38″N 96°22′39″W / 42.46068°N 96.37753°W / 42.46068 ; -96.37753 ( Sergeant Floyd Monument ),Woodbury,Monument to the only member of the 1805 Lewis and Clark expedition who died during the trip . First declared U.S. National Historic Landmark
