Island,Municipality,County
Bassett Island,Peninsula Township,Grand Traverse
Beaver Island,Peaine / St. James,Charlevoix
Bellow Island,Suttons Bay Township,Leelanau
Butlers Island,Gladstone,Delta
Epoufette Island,Hendricks Township,Mackinac
Fisherman Island,Norwood Township,Charlevoix
Garden Island,St. James Township,Charlevoix
Grape Island,St. James Township,Charlevoix
Gravel Island,Hudson Township,Mackinac
Gravelly Island,Fairbanks Township,Delta
Green Island,St. Ignace,Mackinac
Gull Island,Fairbanks Township,Delta
Gull Island,St. James Township,Charlevoix
Hat Island,St. James Township,Charlevoix
High Island,St. James Township,Charlevoix
Hog Island,St. James Township,Charlevoix
Horseshoe Island,St. James Township,Charlevoix
Ile Aux Galets,Cross Village Township,Emmet
Little Gull Island,Fairbanks Township,Delta
Little Hog Island,Hudson Township,Mackinac
