Delegation,City,Type,Date established,Website
Azerbaijan,Yekaterinburg,Consulate-General,2009,-
Belarus,Yekaterinburg,Branch,2001,-
China,Yekaterinburg,Consulate-General,2009,link
Cyprus,Yekaterinburg,Consulate-General,,link
Czech Republic,Yekaterinburg,Consulate-General,2002,link
France,Yekaterinburg,Consulate-General,2008,link
Germany,Yekaterinburg,Consulate-General,2005,link
Hungary,Yekaterinburg,Consulate-General,2007,link
Kyrgyzstan,Yekaterinburg,Consulate-General,2002,link
Tajikistan,Yekaterinburg,Consulate-General,2009,link
Ukraine,Yekaterinburg,Consulate-General,1997,-
United Kingdom,Yekaterinburg,Consulate-General,1997,link
United States,Yekaterinburg,Consulate-General,1994,link
Vietnam,Yekaterinburg,Consulate-General,2007,link
