Rank,Athlete,Nationality,Time
1,Khalid Skah,Morocco,1:00:27
2,Germán Silva,Mexico,1:00:28
3,Ronaldo da Costa,Brazil,1:00:54
4,Godfrey Kiprotich,Kenya,1:01:01
5,Shem Kororia,Kenya,1:01:16
6,Andrew Masai,Kenya,1:01:19
7,Tendai Chimusasa,Zimbabwe,1:01:26
8,Fackson Nkandu,Zambia,1:01:30
9,Moses Tanui,Kenya,1:01:35
10,Rolando Vera,Ecuador,1:01:36
11,Paul Tergat,Kenya,1:01:37
12,Martín Pitayo,Mexico,1:01:38
13,Bedilu Kibret,Ethiopia,1:01:40
14,Benjamin Paredes,Mexico,1:01:41
15,Carsten Eich,Germany,1:01:44
16,Kamal Kohil,Algeria,1:01:50
17,Addis Abebe,Ethiopia,1:02:14
18,Salah Hissou,Morocco,1:02:20
19,Samson Dingani,Zimbabwe,1:02:21
20,Meshack Mogotsi,South Africa,1:02:26
