Name,Date,Modern city,Modern country,Ancient name
Arch of Caracalla,216 216 AD,Djémila,Algeria,"Cuicul , Curculum"
Arch of Caracalla,211 211-214 AD,Tébessa,Algeria,Theveste
Arch of Trajan,150 c. 2nd or 3rd centuries AD,Timgad,Algeria,Marciana Traiana Thamugadi
Heidentor ( Pagan gate ),354 354-361 AD,Petronell-Carnuntum,Austria,Carnuntum
Arch of the Sergii,! 9971 29-27 BC,Pula,Croatia,Colonia Pietas Iulia Pola Pollentia Herculanea
Arch of Campanus,099 1st century AD,Aix-les-Bains,France,Aquae Gratianae
Porte Noire [ fr ],171 c. 171-175 AD,Besançon,France,Vesontio
Arch of Carpentras,018 18-19 AD,Carpentras,France,"Carpentoracte Meminorum , Forum Neronis"
Triumphal Arch of Orange,020 c. 20-27 AD,Orange,France,Colonia Julia Firma Secundanorum Arausio
Porte Mars,200 3rd century AD,Reims,France,Durocortorum
Pont Flavien,! 9988 c. 12 BC,Saint-Chamas,France,n/a
Arch of Glanum [ fr ],010 10-25 AD,Saint-Rémy-de-Provence,France,Glanum
Arch of Germanicus,018 18-19 AD,Saintes,France,Mediolanum Santonum
Hadrian 's Arch,131 131-132 AD,Athens,Greece,"Athína , Athenae"
Arch of Galerius,298 298-299 AD,Thessaloniki,Greece,Thessaloníkē
Arch of Trajan,113 113 AD,Ancona,Italy,Ancona
Arch of Augustus,! 9965 25 BC,Aosta,Italy,Augusta Praetoria Salassorum
Arch of Mark Antony [ it ],113 113 AD,Aquino,Italy,Aquinum
Arch of Trajan,114 114-117 AD,Benevento,Italy,"Maleventum , Beneventum"
Arch of Trajan,109 c. 109 AD,Canosa di Puglia,Italy,Canusium
