Year,Horse,Trainer,Owner,Age,Gender
1970,Fort Marcy ( DRF ),J. Elliott Burch,Rokeby Stables,6,G
1970,Personality ( TRA ),John W. Jacobs,Ethel D. Jacobs,3,C
1969,Arts and Letters,J. Elliott Burch,Rokeby Stables,3,C
1968,Dr. Fager,John A. Nerud,Tartan Stable,4,C
1967,Damascus,"Frank Y. Whiteley , Jr",Edith W. Bancroft,3,C
1966,Buckpasser,Edward A. Neloy,Ogden Phipps,3,C
1965,Roman Brother ( DRF ),Burley Parke,Harbor View Farm,4,G
1965,Moccasin ( TRA ) ( TSD ),Harry Trotsek,Claiborne Farm,2,F
1964,Kelso,Carl Hanford,Bohemia Stable,7,G
1963,Kelso,Carl Hanford,Bohemia Stable,6,G
1962,Kelso,Carl Hanford,Bohemia Stable,5,G
1961,Kelso,Carl Hanford,Bohemia Stable,4,G
1960,Kelso,Carl Hanford,Bohemia Stable,3,G
1959,Sword Dancer,J. Elliott Burch,Brookmeade Stable,3,C
1958,Round Table,William Molter,Kerr Stable,4,C
1957,Dedicate ( TRA ),G. Carey Winfrey,Jan Winfrey Burke,5,C
1957,Bold Ruler ( DRF ) ( TSD ),Jim Fitzsimmons,Wheatley Stable,3,C
1956,Swaps,Mesh Tenney,Rex C. Ellsworth,4,C
1955,Nashua,Jim Fitzsimmons,Belair Stud,3,C
1954,Native Dancer,William C. Winfrey,Alfred G. Vanderbilt II,4,C
