Position,Name,School,ABCA,BA,CB
Starting pitcher,Kip Bouknight,South Carolina,Y,Y,Y
Starting pitcher,Lenny DiNardo,Stetson,Y,Y,Y
Starting pitcher,Justin Wayne,Stanford,Y,Y,Y
Starting pitcher,Jason Anderson,Illinois,Y,-,-
Starting pitcher,Kyle Crowell,Houston,-,Y,-
Starting pitcher,Aaron Heilman,Notre Dame,-,-,Y
Starting pitcher,Shane Komine,Nebraska,-,-,Y
Starting pitcher,Adam Johnson,Cal State Fullerton,-,-,Y
Relief pitcher,Cory Scott,East Carolina,Y,-,Y
Relief pitcher,Charlie Thames,Texas,-,Y,-
Catcher,Brad Cresse,LSU,Y,Y,Y
Catcher,Dane Sardinha,Pepperdine,-,Y,-
First baseman,Todd Faulkner,Auburn,Y,Y,Y
Second baseman,Chase Utley,UCLA,Y,Y,-
Second baseman,Matt Easterday,Georgia Southern,-,-,Y
Third baseman,Mark Teixeira,Georgia Tech,Y,Y,Y
Shortstop,Tim Hummel,Old Dominion,-,Y,Y
Shortstop,Darren Fenster,Rutgers,Y,-,-
Outfielder,Gabe Gross,Auburn,Y,Y,Y
Outfielder,Mitch Jones,Arizona State,Y,Y,Y
