Team,Manager,Captain,Kit manufacturer
Aktobe,Vladimir Mukhanov,Samat Smakov,Adidas
Astana,Holger Fach,Nurbol Zhumaskaliyev,Adidas
Atyrau,Ramiz Mammadov,Andrei Travin,Adidas
Irtysh,Talgat Baisufinov,David Loria,Nike
Kairat,John Gregory,Ruslan Baltiev,Adidas
Kaisar,Algimantas Liubinskas,Borut Semler,Adidas
Ordabasy,Viktor Pasulko,Kairat Ashirbekov,Adidas
Shakhter,Viktor Kumykov,Andrey Finonchenko,Umbro
Taraz,Vait Talgayev,Nurtas Kurgulin,Nike
Tobol,Sergei Petrenko,Aleksandr Petukhov,Erreà
Vostok,Oleksandr Holokolosov,Renat Abdulin,Adidas
Zhetysu,Serik Abdualiyev,Aidar Kumisbekov,Nike
