,Name on the Register,Date listed,Location,City or town
1,Big Arm School,"August 16 , 2007 ( # 07000816 )",7th and D Sts . 47°47′48″N 114°17′41″W / 47.796667°N 114.294722°W / 47.796667 ; -114.294722 ( Big Arm School ),Big Arm
2,Dayton State Bank,"October 3 , 2012 ( # 12000829 )",133 C St. 47°51′52″N 114°16′40″W / 47.864363°N 114.277794°W / 47.864363 ; -114.277794 ( Dayton State Bank ),Dayton
3,Fort Connah Site,"April 28 , 1982 ( # 82003173 )",U.S. Route 93 47°24′20″N 114°05′14″W / 47.405556°N 114.087222°W / 47.405556 ; -114.087222 ( Fort Connah Site ),Post Creek
4,Kootenai Lodge Historic District,"January 17 , 1984 ( # 84002476 )",Sunburst Dr. 48°01′16″N 113°58′33″W / 48.021111°N 113.975833°W / 48.021111 ; -113.975833 ( Kootenai Lodge Historic District ),Bigfork
5,Frank Bird Linderman House,"February 22 , 1984 ( # 84002479 )",Address Restricted,Lakeside
6,Don E. Olsson House and Garage,"January 15 , 2009 ( # 08001325 )",503 4th Ave. SW. 47°31′29″N 114°06′11″W / 47.524634°N 114.103149°W / 47.524634 ; -114.103149 ( Don E. Olsson House and Garage ),Ronan
7,Polson Feed Mill,"April 29 , 1980 ( # 80002423 )",501 Main St. 47°41′28″N 114°09′44″W / 47.691111°N 114.162222°W / 47.691111 ; -114.162222 ( Polson Feed Mill ),Polson
8,St. Ignatius Mission,"June 19 , 1973 ( # 73001053 )",About 0.1 miles ( 0.16 km ) southeast of U.S. Route 93 in St. Ignatius 47°18′54″N 114°06′07″W / 47.315°N 114.101944°W / 47.315 ; -114.101944 ( St. Ignatius Mission ),St. Ignatius
9,St. Joseph 's Catholic Church,"March 18 , 1999 ( # 99000345 )",D'Aste Townsite 47°23′07″N 114°11′47″W / 47.385278°N 114.196389°W / 47.385278 ; -114.196389 ( St. Joseph 's Catholic Church ),Moiese
10,Swan Lake Rock House Historic District,"August 1 , 1984 ( # 84002485 )",Off Montana Highway 83 47°57′18″N 113°53′33″W / 47.955°N 113.8925°W / 47.955 ; -113.8925 ( Swan Lake Rock House Historic District ),Swan Lake
