Year,Horse,Trainer,Owner
1935,Forever Yours,Robert McGarvey,Milky Way Farm
1934,Nellie Flag,Bert B. Williams,Calumet Farm
1933,Mata Hari,Clyde Van Dusen,Dixiana Farm
1933,Bazaar,Herbert J. Thompson,Edward R. Bradley
1932,Happy Gal,James Fitzsimmons,Belair Stud
1931,Top Flight,Thomas J. Healey,C. V. Whitney
1930,Baba Kenny,Herbert J. Thompson,Edward R. Bradley
1929,Alcibiades,Walter W. Taylor,Hal Price Headley
1928,Current,Jack Baker,Robert Sterling Clark
1927,Anita Peabody,Bert S. Michell,Fannie Hertz
1926,Fair Star,Carl Utz,William duPont Jr
1925,Friar 's Carse,Gwyn R. Tompkins,Glen Riddle Farm
1924,Mother Goose,Fred Hopkins,Harry Payne Whitney
1924,Maud Muller,Fred Hopkins,Harry Payne Whitney
1923,Fluvanna,Max Hirsch,Cary T. Grayson
1922,Sally 's Alley,Eugene Wayland,Willis Sharpe Kilmer
1921,Startle,John I. Smith,Herbert H. Hewitt
1920,Careful,Eugene Wayland,Walter J. Salmon Sr
1920,Prudery,James G. Rowe Sr,Harry Payne Whitney
1919,Constancy,H. Guy Bedwell,J. K. L. Ross
