Riding,Candidate 's Name,Gender,Residence
Calgary Centre,Jennifer Pollock,F,Calgary
Calgary Centre-North,Stephen Randall,M,
Calgary East,Josipa Petrunic,F,Calgary
Calgary Northeast,Cameron Stewart,M,
Calgary - Nose Hill,Margaret McLeod,F,Calgary
Calgary Southeast,Brian MacPhee,M,Calgary
Calgary Southwest,Marlene LaMontagne,F,Calgary
Calgary West,Janice Kinch,F,
Crowfoot,Omar Harb,M,
Edmonton Centre,Mary MacDonald,F,
Edmonton East,Shafik Ruda,M,Edmonton
Edmonton - Leduc,Donna Lynn Smith,F,Edmonton
Edmonton - Mill Woods - Beaumont,Michael Butler,M,Edmonton
Edmonton - St. Albert,Kevin Taron,M,Edmonton
Edmonton - Sherwood Park,Rick Szostak,M,Edmonton
Edmonton - Spruce Grove,Chris Austin,M,Edmonton
Edmonton - Strathcona,Matthew Sinclair,M,
Fort McMurray - Athabasca,Karen Young,F,
Lethbridge,Michael Cormican,M,Lethbridge
Macleod,Nicole Hankel,F,
