Pos,Name,Moving from,Type,Ends
DF,Bruno Rodrigo,Portuguesa,Signed,2012
DF,Bruno Aguiar,Guarani,Signed,2012
MF,Marquinhos,Avaí,Signed,2012
GK,Vladimir,Fortaleza,Loan return,2014
GK,Felipe,Paraná Clube,Loan return,2012
MF,Roberto Brum,Figueirense,Loan return,2011
DF,Durval,Sport,Signed,2011
MF,Wesley,Atlético-PR,Loan Return,2012
MF,Giovanni,Mogi Mirim,Signed,2010
FW,Zé Eduardo,Pinheiros,Loaned,2010
DF,Luciano Castan,União São João,Loaned,2010
DF,Maranhão,Guarani,Signed,2013
MF,Arouca,São Paulo,Loaned,2010
FW,Robinho,Manchester City,Loaned,2010
MF,Zezinho,Juventude,Loaned,2011
DF,Alex Sandro,Atlético-PR,Loaned,2011
MF,Rodriguinho,Guarani,Signed,2012
FW,Marcel,Benfica,Loaned,2010
FW,Tiago Lúis,União Leiria,Loan return,2013
DF,Adriano,São Caetano,Loan return,2013
