Team,Location,Home ground,Head coach,Finishing position 2012
Aberdeen,Aberdeen,Heathryfold Park,Allan Smith,6th
Buchan LFC,Maud,Pleasure Park,Ewen Reid,"SWFL First Division , 3rd"
Celtic,Glasgow,"Celtic Training Centre , Lennoxtown",David Haley,3rd
Falkirk,Falkirk,"Recreation Park , Alloa",Alan Palmer,10th
Forfar Farmington,Forfar,Station Park,Mark Nisbet,2nd
Glasgow City,Glasgow,Petershill Park,Eddie Wolecki-Black,1st
Hamilton Academical,Hamilton,"John Cumming Stadium , Carluke",Kevin Murphy,7th
Hibernian,Edinburgh,"Albyn Park , Broxburn",Willie Kirk,4th
Hutchison Vale,Edinburgh,Saughton Enclosure,Ian Macdonald,8th
Kilwinning SC Ladies,Kilwinning,Kilwinning Sports Club,Craig Hamilton,"SWFL First Division , 4th"
Rangers,Glasgow,Petershill Park,Angie Hind,9th
Spartans,Edinburgh,Spartans Academy,Debbi McCulloch,5th
