,Country,Airport name,IATA / ICAO Code,City served,Passengers
1,Panama,Tocumen International Airport,PTY/MPTO,Panamá City,"12,782,167"
2,Costa Rica,Juan Santamaría International Airport,SJO/MROC,San José,"3,917,573"
3,El Salvador,Comalapa International Airport,SAL/MSLP,San Salvador,"2,453,217"
4,Guatemala,La Aurora International Airport,GUA/MGGT,Guatemala City,"2,216,915"
5,Nicaragua,Augusto C. Sandino International Airport,MGA/MNMG,Managua,"1,311.965"
6,Costa Rica,Daniel Oduber International Airport,LIR/MRLB,Liberia,"779,757"
7,Honduras,Ramón Villeda Morales International Airport,SAP/MHLM,San Pedro Sula,"772,504"
8,Honduras,Toncontín International Airport,TGU/MHTG,Tegucigalpa,"617,526"
9,Belize,Philip S. W. Goldson International Airport,BZE/MZBZ,Belize City,"577,970"
10,Honduras,Juan Manuel Gálvez International Airport,RTB/MHRO,Roatán,"286,738"
11,Panama,Enrique Malek International Airport,DAV/MPDA,David,"260,603"
12,Panama,Albrook International Airport,PAC/MPMG,Panamá City,"239,315"
13,Honduras,Golosón International Airport,LCE/MHLC,La Ceiba,"133,768"
14,Panama,Panamá Pacífico International Airport,BLB/MPHO,Panamá City,"132,205"
15,Guatemala,Mundo Maya International Airport,FRS/MGTK,Flores / Tikal,"111,075"
16,Costa Rica,Tobías Bolaños International Airport,SYQ/MRPV,San José,"88,363"
17,Panama,Bocas del Toro International Airport,BOC/MPBO,Bocas / Isla Colón,"80,378"
18,Nicaragua,Corn Island Airport,RNI/MNCI,Corn Islands,"50,700"
19,Nicaragua,Bluefields Airport,BEF/MNBL,Bluefields,"45,500"
20,Nicaragua,Puerto Cabezas Airport,PUZ/MNPC,Puerto Cabezas,"41,000"
