Name,Region,Category,Year submitted,Description
"Badshahi Mosque , Lahore","Punjab , Pakistan",Cultural,1993,"The mosque was commissioned by Mughal Emperor Aurangzeb in 1671 . It is the second largest mosque in Pakistan after Faisal Mosque and can accommodate over 100,000 worshipers in its hall and surroundings . The mosque is located opposite to Lahore Fort and symbolizes the rich Mughal architecture . It was the largest mosque in the Mughal empire and held the record of being the largest mosque in the world for 313 years until 1986 . Under Sikh and British rule from 1799 to 1939 , the mosque was used as military garrison and was severely damaged . Extensive repair work were done after 1939 and by 1960 it was restored to its original conditions . A small museum containing relics of Prophet Muhammad , his cousin Ali , and his daughter Fatimah is established inside the mosque"
"Wazir Khan Mosque , Lahore","Punjab , Pakistan",Cultural,1993,"The Wazir Khan Mosque in Lahore , is famous for its extensive faience tile work . It has been described as ' a mole on the cheek of Lahore ' . It was built in seven years , starting around 1634-1635 AD , during the reign of the Mughal Emperor Shah Jehan . It was built by Hakim Shaikh Ilm-ud-din Ansari , a native of Chiniot , who rose to be the court physician to Shah Jahan and a governor of Lahore . The mosque is inside the Inner City and is easiest accessed from Delhi Gate . The mosque contains some of the finest examples of Qashani tile work from the Mughal period"
"Tombs of Jahangir , Tomb of Asif Khan and Akbari Sarai , Lahore","Punjab , Pakistan",Cultural,1993,"The Tomb of Jahangir is a mausoleum built for Jahangir , who ruled the Mughal Empire from 1605 to 1627 . Tomb of Asif Khan belongs to Abul-Hasan ibn Mirza Ghiyas Beg , built by Shah Jahan when Khan died in 1641 while engaged in fighting against the forces of rebel Raja Jagat Singh Pathania . The series of open courtyard tombs called Akbari Sarai , is situated between the tombs of Jahangir and Asif Khan"
"Hiran Minar and Tank , Sheikhupura","Punjab , Pakistan",Cultural,1993,"Hiran Minar is set in peaceful environs near Lahore was constructed by Emperor Jahangir as a monument to Mansiraj , his favorite pet deer or antelope"
"Katasraj Temple , Chakwal","Punjab , Pakistan",Cultural,2005,The Katas Raj Temples near Chakwal in Punjab province of Pakistan are attributed to the eras of the Hindu Shahis ( kings ) dating from about 615-950 CE and are dedicated to Lord Shiva . As such they constitute one of the most important Hindu pilgrimage sites in Pakistan and are still in use to this day by members of the Hindu community both in the country and those who make the journey there every year from abroad
"Ranikot Fort , Dadu","Sindh , Pakistan",Cultural,1993,"Ranikot Fort is a historical fort near Sann , known as The Great Wall of Sindh is believed to be the world 's largest fort with a circumference of approximately 26 kilometres ( 16 mi )"
"Shah Jahan Mosque , Thatta","Sindh , Pakistan",Cultural,1993,"The mosque was built in 1647 , during the reign of Mughal King Shah Jahan , as a gift to the people of Sindh for their hospitality"
"Chaukhandi Tombs , Karachi","Sindh , Pakistan",Cultural,1993,"The Chaukhandi tombs form an early Islamic cemetery are remarkable for their elaborate sandstone carvings . The style of architecture is typical to the region of Sindh . Generally , the tombs are attributed to the Jokhio ( also spelt Jokhiya ) and known as the family graveyard of the Jokhio tribe , although other , mainly Baluch , tribes have also been buried here . They were mainly built during Mughal rule sometime in the 15th and 18th centuries when Islam became dominant"
Archaeological Site of Mehrgarh,"Balochistan , Pakistan","Cultural ; iii , iv",2004,"Mehrgar , is one of the most important Neolithic ( 7000 BCE to c. 2500 BCE ) sites in archaeology . It is one of the earliest sites with evidence of farming and herding in South Asia"
Archaeological Site of Rehman Dheri,"Khyber Pakhtunkhwa , Pakistan","Cultural ; i , ii",2004,"Rehman Dheri is a Pre-Harappan archaeological site and one of the oldest urbanised centres found to date in South Asia , Dates back about 4000 BC"
