Lake,Region,Area km²,Elevation m,Depth m
Lake Garda ( Lago di Garda ),"Lombardy , Trentino/South Tyrol , Veneto",370,65,346
Lago Maggiore,"Lombardy , Piedmont , Ticino ( Switzerland )",210,194,372
Lake Como ( Lago di Como ),Lombardy,146,198,410
Lake Trasimeno ( Lago Trasimeno ),Umbria,124,257,7
Lake Bolsena ( Lago di Bolsena ),Lazio,114,305,151
Lake Iseo ( Lago d'Iseo ),Lombardy,65.3,186,251
Lake Bracciano ( Lago di Bracciano ),Lazio,56.7,160,165
Lake Lugano ( Lago di Lugano ),"Lombardy , Ticino ( Switzerland )",48.7,271,288
Lake Omodeo ( Lago Omodeo ),Sardinia,29,,
Lago d'Orta,Piedmont,18.2,290,144
Lake Coghinas ( Lago Coghinas ),Sardinia,17.8,,
Lago di Varese,Lombardy,14.9,238,26
Lago di Vico,Lazio,12.1,510,48.5
Lago d'Idro,Lombardy,10.9,368,122
