Year,Award,Title of work,Result
1934,Outstanding Production,Viva Villa !,Nominated
1935,Outstanding Production,David Copperfield,Nominated
1936,Outstanding Production,A Tale of Two Cities,Nominated
1937,Outstanding Production,A Star Is Born,Nominated
1939,Outstanding Production,Gone with the Wind,Won
1938,Irving G. Thalberg Memorial Award,,Nominated
1939,Irving G. Thalberg Memorial Award,,Won
1940,Outstanding Production,Rebecca,Won
1944,Best Motion Picture,Since You Went Away,Nominated
1945,Best Motion Picture,Spellbound,Nominated
