Year,Title,Role,Notes
2017,Mass Effect : Andromeda,Various,Performance Capture Actor
2017,Lone Echo,Hera,Voice acting
2017,Madden NFL 18 : Longshot,Various,Motion capture actor
2017,FIFA 18,Beatriz Villanova,Voice acting
2017,Puzzle Fighter,Additional Voices,
2017,Need for Speed Payback,Additional Voices,
2018,Dragalia Lost,Corsaint Phoenix / Kristy,Voice acting
2018,FIFA 19,Beatriz Villanova,Voice acting
2019,Crackdown 3,Additional Voices,
2019,Anthem,Princess Zhim,Voice acting
2019,FIFA 20,Beatriz Villanova,Voice acting
