Typeface,Year,Designer,Foundry,Source
Bell Centennial,1976-1978,Matthew Carter,Mergenthaler Linotype Company,[ 2 ]
Big Caslon,1994,Matthew Carter,Carter & Cone,[ 3 ]
Dead History,1990,"P. Scott Makela , Zuzana Licko",Emigre,[ 4 ]
FF Beowolf,1990,"Erik Van Blokland , Just van Rossum",FontShop,[ 5 ]
FF Blur,1992,Neville Brody,FontShop,[ 6 ]
FF DIN,1995,Albert-Jan Pool,FontShop,[ 7 ]
FF Meta,1984-1991,Erik Spiekermann,FontShop,[ 8 ]
Gotham,2000,"Jonathan Hoefler , Tobias Frere-Jones",Hoefler Type Foundry,[ 9 ]
HTF Didot,1991,Jonathan Hoefler,Hoefler Type Foundry,[ 10 ]
Interstate,1993-1995,Tobias Frere-Jones,Font Bureau,[ 11 ]
ITC Galliard,1978,Matthew Carter,International Typeface Corporation,[ 12 ]
Keedy Sans,1991,Jeffery Keedy,Emigre,[ 13 ]
Mantinia,1993,Matthew Carter,Carter & Cone,[ 14 ]
Mason,1992,Jonathan Barnbrook,Emigre,[ 15 ]
Mercury,1996,"Jonathan Hoefler , Tobias Frere-Jones",Hoefler & Frere-Jones,[ 16 ]
Miller,1997,Matthew Carter,Font Bureau,[ 17 ]
New Alphabet,1967,Wim Crouwel,-,[ 18 ]
Oakland,1985,Zuzana Licko,Emigre,[ 19 ]
OCR-A,1966,American Type Founders,American Type Founders,[ 20 ]
Retina,1999,"Jonathan Hoefler , Tobias Frere-Jones",Hoefler Type Foundry,[ 21 ]
