Medal,Name,Sport,Event
Gold,Josip Alebić,Athletics,400m
Gold,Milovan Savić,Athletics,800m
Gold,Boško Božinović,Athletics,1500m
Gold,Borislav Pisić,Athletics,110m Hurdles
Gold,Nenad Stekić,Athletics,Long jump
Gold,Ivica Ivičak Milorad Čikić Milovan Savić Josip Alebić,Athletics,4 × 400 m
Gold,Ivan Ivančić,Athletics,Shot put
Gold,Žarko Primorac,Athletics,Javelin
Gold,Srećko Štiglić,Athletics,Hammer
Gold,Jelica Pavličić,Athletics,400m
Gold,Basketball team Dražen Dalipagić Mirza Delibašić Blagoja Georgievski Željko Jerkov Dragan Kićanović Andro Knego Ratko Radovanović Goran Rakočević Žarko Varajić Radivoj Živković Rajko Žižić,Basketball,Men 's tournament
Gold,Adem Ašanović,Boxing,Bantamweight
Gold,Milenko Rubelj,Boxing,Light Welterweight
Gold,Handball team Abaz Arslanagić Milorad Karalić Zdravko Miljak Željko Nimš Radisav Pavičević Nebojša Popović Branislav Pokrajac Miroslav Pribanić Zdravko Rađenović Zvonimir Serdarušić Predrag Timko Zdenko Zorko,Handball,Men 's tournament
Gold,Slavko Obadov,Judo,80kg
Gold,Pavle Bajčetić,Judo,93kg
Gold,Ivan Frgić,Wrestling,"Greco-Roman , 57 kg"
Gold,Sreten Damjanović,Wrestling,"Greco-Roman , 68 kg"
Gold,Momir Petković,Wrestling,"Greco-Roman , 82 kg"
Gold,Šaban Seidi,Wrestling,"Freestyle , 62 kg"
