Rank,Athlete,Nationality,Time
1,Meseret Hailu,Ethiopia,1:08:55
2,Feyse Tadese,Ethiopia,1:08:56
3,Paskalia Chepkorir Kipkoech,Kenya,1:09:04
4,Lydia Cheromei,Kenya,1:09:13
5,Emebt Etea,Ethiopia,1:10:01
6,Pauline Njeri Kahenya,Kenya,1:10:22
7,Gemma Steel,United Kingdom,1:11:09
8,Tomomi Tanaka,Japan,1:11:09
9,Mai Ito,JPN,1:11:25
10,Caryl Jones,GBR,1:11:52
11,Sabrina Mockenhaupt,GER,1:12:04
12,Asami Kato,JPN,1:12:11
13,Maegan Krifchin,USA,1:12:29
14,Lara Tamsett,AUS,1:12:58
15,Yoko Miyauchi,JPN,1:13:00
16,René Kalmer,RSA,1:13:16
17,Derbe Godana,ETH,1:13:16
18,Adriana Nelson,USA,1:13:30
19,Kayo Sugihara,JPN,1:13:36
20,Karolina Jarzynska,POL,1:13:45
