Season,Winner,Runner-up,Relegated at end of season,Promoted at end of season
1992,LCS Gunners,TAFIC,Jwaneng Comets,Mogoditshane Fighters
1997,BDF XI,Gaborone United,BMC Nico United,Mokgosi Young Fighters TASC
1998,Notwane,BDF XI,TASC Mokgosi Young Fighters,Satmos Jwaneng Comets
1998-99,Mogoditshane Fighters,BDF XI,No relegation,
1999-00,Mogoditshane Fighters,Mochudi Centre Chiefs,Gaborone United Prisons XI,Botswana Meat Commission TASC
2000-01,Mogoditshane Fighters,BDF XI,Botswana Meat Commission Satmos,
2001-02,BDF XI,Mogoditshane Fighters,Nico United Township Rollers,
2002-03,Mogoditshane Fighters,Police XI,,
2004-05,Township Rollers,Police XI,Uniao Flamengo Santos TAFIC Orapa Wanderers,Naughty Boys
2005-06,Police XI,BDF XI,Mogoditshane Fighters Naughty Boys Mosquito,Jwaneng Comets
2006-07,ECCO City Greens,Mochudi Centre Chiefs,Prisons XI Satmos,
2007-08,Mochudi Centre Chiefs,Gaborone United,TASC Jwaneng Comets,
2008-09,Gaborone United,Mochudi Centre Chiefs,Mogoditshane Fighters Great North Tigers Naughty Boys,Jwaneng Comets Motlakase Power Dynamos
2009-10,Township Rollers,Mochudi Centre Chiefs,Killer Giants Jwaneng Comets Boteti Young Fighters,TASC
2010-11,Township Rollers,Mochudi Centre Chiefs,TASC Black Peril FC,Mogoditshane Fighters Satmos
2011-12,Mochudi Centre Chiefs,Botswana Meat Commission,Notwane F.C . Great North Tigers Satmos,Motlakase Prisons XI BR Highlanders
2012-13,Mochudi Centre Chiefs,Nico United,Prisons XI Mogoditshane Fighters BR Highlanders,
2013-14,Township Rollers,BDF XI,,
2014-15,Mochudi Centre Chiefs,Orapa United,,
