Sidekick,Full name or Alter-ego,Hero,First appearance,Year
Alpha,Andrew Andy Maguire,Spider-Man,"Amazing Spider-Man vol . 1 , # 692 ( October 2012 )",2012
Bob,"Bob , Agent of HYDRA",Deadpool,Cable & Deadpool # 38 ( May 2007 ),2007
Bucky,James Buchanan Barnes,Captain America,Captain America Comics # 1 ( March 1941 ),1941
Demolition Man,Dennis Dunphy,Captain America,Captain America # 328 ( April 1987 ),1987
Dum Dum Dugan,Timothy Aloysius Cadwallander Dugan,Nick Fury,Sgt . Fury and his Howling Commandos # 1 ( May 1963 ),1963
Falcon,Samuel Thomas Sam Wilson,Captain America,Captain America # 117 ( September 1969 ),1969
Free Spirit,Cathy Webster,Captain America,Captain America # 431 ( September 1994 ),1994
Jackdaw,N.A . ( Extra-dimensional Otherworld Elf ),Captain Britain,The Incredible Hulk Weekly # 57 ( April 1980 ),1980
Jack Flag,Jack Harrison,Captain America,Captain America # 434 ( December 1994 ),1994
Jubilee,Jubilation Jubilee Lee,Wolverine,Uncanny X-Men # 244 ( May 1989 ),1989
Rick Jones,Richard Milhouse Jones,Hulk,The Hulk # 1 ( May 1962 ),1962
Foggy Nelson,Franklin P. Nelson,Daredevil,"Daredevil vol . 1 , # 1 ( April 1964 )",1964
Jim Rhodes,James Rupert Rhodes,Iron Man,Iron Man # 118 ( January 1979 ),1979
Sun Girl,Mary Mitchell,Human Torch ( android ),Sun Girl # 1 ( August 1948 ),1948
Toro,Thomas Raymond,Human Torch ( android ),Human Torch Comics # 2 ( Fall 1940 ),1940
Jim Wilson,N.A,Hulk,Incredible Hulk Vol . 1 # 131 ( September 1970 ),1970
Wong,Wong,Doctor Strange,Strange Tales # 110 ( July 1963 ),1963
